year,pm2.5_ug_m3,frp_total,vim,tc_loss_ha,asthma_live_discharges,bronchitis_live_discharges,no2_ug_m3,so2_ug_m3
2014,12.59898044925,250.53083333333333,0.7155069444166666,233.0,8796.0,2033.0,9.177105719833333,1.317526637
2015,10.270021580749999,99.795,0.73765277775,144.0,8019.0,2310.0,10.166282159666666,1.3122335630833333
2016,13.457719223333333,426.1033333333333,0.7167083333333334,545.0,7.0,2457.0,9.671999964583334,1.3547378619166668
2017,13.489781491666667,155.21333333333334,0.73465972225,431.0,7803.0,2598.0,11.73674200825,1.4160271060833332
2018,14.284623695416668,223.41250000000002,0.73272222225,419.0,8209.0,3117.0,12.787513719583332,1.34559831625
2019,12.378127238333335,277.76666666666665,0.7153819444166666,228.0,9.0,3332.0,12.535092709583333,1.1993634334166667
2020,11.418504183916667,210.13166666666666,0.7321944444166667,507.0,4951.0,2044.0,12.722315456333334,1.3633159844166667
2021,12.10230715625,93.10916666666667,0.73503472225,251.0,2646.0,1178.0,13.026537658083333,1.3987162715833332
2022,14.053761427083332,211.27166666666668,0.7283124999166667,384.0,5677.0,2509.0,13.150941476,1.5052662806666666
2023,11.373437642833332,159.2525,0.7296874999999999,510.0,7274.0,3072.0,12.953875699416665,1.3267140106666666
2024,12.682472028583334,259.2108333333333,0.7269652777500001,508.0,8078.0,3211.0,13.013773965916668,1.3730469628333333
