,pm2.5_ug_m3,no2_ug_m3,so2_ug_m3,vim,vim_anomaly,tc_loss_ha,frp_total,carbon_gross_emissions_yearly,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
pm2.5_ug_m3,1.0,-0.08208691371496399,0.21508667837622658,-0.06967158804098106,-0.06091818802890137,-0.14013787659455018,0.09734378215942555,-0.1495546401563636,-0.07427344675859006,0.1791211907474495,0.2671355183229014,0.0814988269812501,0.13700146805589689,-0.11398152771390019
no2_ug_m3,-0.08208691371496399,1.0,0.02282053328927139,0.022823236917526253,0.1450262851908386,-0.051804291230147834,-0.291554580618351,-0.06198157244492087,-0.23515119645966556,0.24469556973588127,0.07990638411156599,0.4542796784368277,0.04381221314264137,0.2987747714957753
so2_ug_m3,0.21508667837622658,0.02282053328927139,1.0,-0.3624606202517125,0.21973904983607576,0.0018259946632008662,0.4045185528668931,-0.001740433962060746,-0.01376551059333837,-0.0009530830272035018,0.04557582785772339,0.03342144438509595,-0.012199222090400877,0.019330483904367486
vim,-0.06967158804098106,0.022823236917526253,-0.3624606202517125,1.0,0.4953943340421052,0.05702901434748099,-0.49276425553683423,0.04681459211023132,-0.09036382832931941,-0.03921857039842264,0.11738014949225639,0.004301240800393508,0.007616808390151142,0.014503347201157249
vim_anomaly,-0.06091818802890137,0.1450262851908386,0.21973904983607576,0.4953943340421052,1.0,0.10208377449487056,-0.22403549435792536,0.08663497098905291,-0.1576841150146284,-0.060867962757085864,0.19793756611606925,0.015858383274306737,0.02484189540342416,0.009383701038088617
tc_loss_ha,-0.14013787659455018,-0.051804291230147834,0.0018259946632008662,0.05702901434748099,0.10208377449487056,1.0,0.11284798786561086,0.9955106213345483,-0.228460748245784,0.17180064512581536,0.01889424460983519,0.10687506470259373,0.3054112438628292,-0.07218730672499761
frp_total,0.09734378215942555,-0.291554580618351,0.4045185528668931,-0.49276425553683423,-0.22403549435792536,0.11284798786561086,1.0,0.11392938469877582,0.04347452695255268,-0.040924954992864346,-0.05589861893483675,-0.05146460535468659,0.016025549505079253,-0.029687904804125753
carbon_gross_emissions_yearly,-0.1495546401563636,-0.06198157244492087,-0.001740433962060746,0.04681459211023132,0.08663497098905291,0.9955106213345483,0.11392938469877582,1.0,-0.22781972281511942,0.18229269208845,-0.038639093935218,0.10207171656937242,0.32502011091798705,-0.09460023621593242
asthma_live_discharges,-0.07427344675859006,-0.23515119645966556,-0.01376551059333837,-0.09036382832931941,-0.1576841150146284,-0.228460748245784,0.04347452695255268,-0.22781972281511942,1.0,-0.14403950288179623,0.05936340706658044,-0.09018946039368451,-0.768143627179319,-0.16591108755058062
bronchitis_live_discharges,0.1791211907474495,0.24469556973588127,-0.0009530830272035018,-0.03921857039842264,-0.060867962757085864,0.17180064512581536,-0.040924954992864346,0.18229269208845,-0.14403950288179623,1.0,0.4291828164042339,0.7210091631081634,0.38896377915047925,-0.36592907231617977
asthma_deaths,0.2671355183229014,0.07990638411156599,0.04557582785772339,0.11738014949225639,0.19793756611606925,0.01889424460983519,-0.05589861893483675,-0.038639093935218,0.05936340706658044,0.4291828164042339,1.0,0.2533336841083898,0.0202294671083207,-0.43387339102862044
bronchitis_deaths,0.0814988269812501,0.4542796784368277,0.03342144438509595,0.004301240800393508,0.015858383274306737,0.10687506470259373,-0.05146460535468659,0.10207171656937242,-0.09018946039368451,0.7210091631081634,0.2533336841083898,1.0,0.13316044061244028,0.21357726124949342
asthma_cfr,0.13700146805589689,0.04381221314264137,-0.012199222090400877,0.007616808390151142,0.02484189540342416,0.3054112438628292,0.016025549505079253,0.32502011091798705,-0.768143627179319,0.38896377915047925,0.0202294671083207,0.13316044061244028,1.0,-0.11852740725867464
bronchitis_cfr,-0.11398152771390019,0.2987747714957753,0.019330483904367486,0.014503347201157249,0.009383701038088617,-0.07218730672499761,-0.029687904804125753,-0.09460023621593242,-0.16591108755058062,-0.36592907231617977,-0.43387339102862044,0.21357726124949342,-0.11852740725867464,1.0
