year,January,February,March,April,May,June,July,August,September,October,November,December
2014,0.0,25.71,11.35,177.85,30.63,38.91,802.81,633.63,93.95,7.33,48.77,0.0
2015,0.0,0.0,82.1,1.28,12.14,66.47,326.14,1482.39,220.48,5.13,0.0,0.0
2016,3.07,19.99,73.52,191.98,120.9,10.13,36.67,335.54,404.31,236.09,0.0,11.0
2017,10.75,1.95,4.26,51.47,56.99,48.12,228.19,75.54,133.26,10.49,0.77,0.0
2018,3.18,159.53,4.58,8.28,0.0,23.42,503.06,374.3,293.21,6.95,0.0,0.0
2019,1.78,1.57,98.39,111.21,54.38,101.27,209.36,385.51,54.33,3.43,0.0,0.0
2020,0.0,200.05,121.14,61.29,0.0,1.63,25.5,750.71,13.95,45.3,0.0,2.91
2021,0.0,15.06,21.29,11.81,8.28,19.8,171.43,131.46,193.89,10.5,0.0,0.0
2022,2.35,0.0,0.0,3.58,19.43,26.1,189.34,141.14,240.69,60.58,2.64,0.0
2023,0.0,20.71,0.0,9.57,0.0,51.24,372.56,1291.87,133.26,0.0,0.0,0.0
2024,0.0,6.19,71.67,0.0,7.36,1.35,119.31,361.06,205.53,5.08,0.0,0.0
