year,January,February,March,April,May,June,July,August,September,October,November,December
2014,2.805268877,3.325395827,3.418163541,4.003360093,4.49243026,2.958391202,2.720036543,3.730634081,3.578213276,4.299326762,4.476504251,3.509257985
2015,3.110062345,3.557556431,3.78785276,4.39947515,4.69305849,3.90599028,3.086425357,3.4588938,4.08964814,4.333365449,4.634130557,3.175121822
2016,3.093665158,3.490714157,3.925352562,4.632382047,4.283652966,3.598997517,3.577029111,3.529779012,3.640518271,4.259639675,3.779779108,4.549653618
2017,3.660032902,4.047437939,5.595288064,5.319911509,4.229707524,3.842000737,3.809077189,3.668983486,4.544775876,4.636124923,4.810928625,4.786277805
2018,4.242732221,3.963941224,5.314719079,5.082910542,5.25464391,4.363395682,3.776810749,3.893495236,4.606113672,5.310155803,4.937139758,4.685896478
2019,3.452524436,4.858015293,5.209091386,5.384080967,4.553370716,4.309589809,4.3681451,4.325965636,4.790708383,6.018358229,6.29054113,4.159475
2020,4.402758978,3.50813234,4.105097722,4.850949036,5.117102578,4.655053025,4.847994617,4.788395873,5.161393125,5.100184593,4.979718523,4.675371516
2021,4.673504592,4.012223216,5.564772726,5.90929812,5.119251569,4.476374851,3.821341508,4.455642334,4.96194478,5.623858777,6.090512224,4.733448618
2022,5.069751837,4.15718664,6.047295222,5.842350537,4.605224433,4.464902226,4.372983538,4.072962917,4.298189916,5.542978852,6.32264473,4.963486448
2023,3.563022956,4.008142399,5.454946908,5.093008094,6.10928705,4.453693739,4.355048689,4.124466551,4.903469061,6.212664122,6.042714555,4.410567271
2024,4.71419789,4.049015434,4.642281429,4.851482863,5.272186078,4.760021605,4.06693462,4.572908729,4.199125133,6.151820088,5.29076953,6.472339945
