month,pm2.5_ug_m3,frp_total,vim,asthma_live_discharges,bronchitis_live_discharges,no2_ug_m3
January,14.581140772727274,1.9209090909090911,0.6570681818181818,4056.3636363636365,708.0909090909091,3.8897747447272724
February,15.483144992727272,40.97818181818182,0.5777045454545454,4056.3636363636365,708.0909090909091,3.907069172727273
March,17.336810733636366,44.39090909090908,0.552409090909091,4056.3636363636365,708.0909090909091,4.824078309
April,14.454849289181817,57.12,0.5335,4056.3636363636365,708.0909090909091,5.0335644507272725
May,16.64827394,28.19181818181818,0.6063484848181818,4056.3636363636365,708.0909090909091,4.884537779454546
June,16.634711523636362,35.31272727272727,0.6103863636363637,4056.3636363636365,708.0909090909091,4.162582788454546
July,18.11564828363636,271.30636363636364,0.5390606060909091,4056.3636363636365,708.0909090909091,3.891075183727273
August,16.569146864545456,542.1045454545455,0.5312045454545454,4056.3636363636365,708.0909090909091,4.0565570595454545
September,13.831758153636365,180.62363636363636,0.5326818181818183,4056.3636363636365,708.0909090909091,4.434009057545454
October,12.301724056636363,35.53454545454545,0.5150378787272728,4056.3636363636365,708.0909090909091,5.2262252066363635
November,15.039591239818181,4.743636363636364,0.6143333332727273,4056.3636363636365,708.0909090909091,5.241398453727272
December,14.314306067545454,1.2645454545454546,0.682530303,4056.3636363636365,708.0909090909091,4.556445136909091
