,pm2.5_ug_m3,no2_ug_m3,so2_ug_m3,vim,vim_anomaly,tc_loss_ha,frp_total,carbon_gross_emissions_yearly,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
pm2.5_ug_m3,1.0,-0.3693558117340209,0.12324347446931797,-0.3687181969000794,-0.18732068821283293,0.11354487209335826,-0.0744985121486667,0.10076497666855143,0.13286451609879962,0.06354593705540992,0.12026473545967685,-0.02128635885395001,0.05355089138308922,-0.06849270844638684
no2_ug_m3,-0.3693558117340209,1.0,-0.0056405224615374465,0.551349402272462,0.17975975160459517,-0.027875239069929735,0.20016405692829772,-0.012538723699404064,-0.030738725520821228,0.029615046537737263,-0.16274033358389534,0.04100503564767077,-0.19229890929866558,0.02580492854607552
so2_ug_m3,0.12324347446931797,-0.0056405224615374465,1.0,-0.0576469093450841,0.08608687654564487,-0.052487752339965374,-0.04483774083397456,-0.051354349223948895,0.010867628913935614,-0.0040574700129009265,-0.022341917669799878,0.032439557683567315,-0.05252803523626836,0.023632178838398108
vim,-0.3687181969000794,0.551349402272462,-0.0576469093450841,1.0,0.8471565318283428,-0.08489017374820029,0.03804451413382893,-0.07800901049213625,-0.10504087560766907,-0.06403401620585793,-0.07403143501809364,-0.04106702913237468,-0.03783671510698544,-0.011292838887855422
vim_anomaly,-0.18732068821283293,0.17975975160459517,0.08608687654564487,0.8471565318283428,1.0,-0.10192266045231556,0.013335391477740464,-0.0939901447634723,-0.12702697908762337,-0.07741657012617575,-0.08550721372333675,-0.04788139941416509,-0.03995642315695523,-0.011578078031634707
tc_loss_ha,0.11354487209335826,-0.027875239069929735,-0.052487752339965374,-0.08489017374820029,-0.10192266045231556,1.0,-0.012280029557068363,0.9941034358697168,-0.44887040291573194,-0.5122767124321369,-0.1893634906124984,-0.49319452232758487,0.12176919357040195,-0.06617192780211457
frp_total,-0.0744985121486667,0.20016405692829772,-0.04483774083397456,0.03804451413382893,0.013335391477740464,-0.012280029557068363,1.0,-0.023830474539148373,0.04097725267326881,-0.038388706044290434,0.11972519908365961,-0.06570853975754289,0.10187333493174845,-0.05954235902693442
carbon_gross_emissions_yearly,0.10076497666855143,-0.012538723699404064,-0.051354349223948895,-0.07800901049213625,-0.0939901447634723,0.9941034358697168,-0.023830474539148373,1.0,-0.5111864030340231,-0.5445613213095467,-0.27353802539221167,-0.4840184921728781,0.05789645000061436,-0.02757990911025146
asthma_live_discharges,0.13286451609879962,-0.030738725520821228,0.010867628913935614,-0.10504087560766907,-0.12702697908762337,-0.44887040291573194,0.04097725267326881,-0.5111864030340231,1.0,0.8031983144691203,0.6972469869057145,0.3855989366657882,0.19553966466089434,-0.20159345508937326
bronchitis_live_discharges,0.06354593705540992,0.029615046537737263,-0.0040574700129009265,-0.06403401620585793,-0.07741657012617575,-0.5122767124321369,-0.038388706044290434,-0.5445613213095467,0.8031983144691203,1.0,0.41289482942833267,0.3827214873230981,0.008260474905627318,-0.3037986570362096
asthma_deaths,0.12026473545967685,-0.16274033358389534,-0.022341917669799878,-0.07403143501809364,-0.08550721372333675,-0.1893634906124984,0.11972519908365961,-0.27353802539221167,0.6972469869057145,0.41289482942833267,1.0,0.1983766724604014,0.8258835720942684,-0.10382443598463406
bronchitis_deaths,-0.02128635885395001,0.04100503564767077,0.032439557683567315,-0.04106702913237468,-0.04788139941416509,-0.49319452232758487,-0.06570853975754289,-0.4840184921728781,0.3855989366657882,0.3827214873230981,0.1983766724604014,1.0,0.04940230159774315,0.7494831962584296
asthma_cfr,0.05355089138308922,-0.19229890929866558,-0.05252803523626836,-0.03783671510698544,-0.03995642315695523,0.12176919357040195,0.10187333493174845,0.05789645000061436,0.19553966466089434,0.008260474905627318,0.8258835720942684,0.04940230159774315,1.0,0.07144856890148071
bronchitis_cfr,-0.06849270844638684,0.02580492854607552,0.023632178838398108,-0.011292838887855422,-0.011578078031634707,-0.06617192780211457,-0.05954235902693442,-0.02757990911025146,-0.20159345508937326,-0.3037986570362096,-0.10382443598463406,0.7494831962584296,0.07144856890148071,1.0
