year,January,February,March,April,May,June,July,August,September,October,November,December
2014,1.7,18.54,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,0.0,0.0,0.0,6.93,0.0,0.0,0.0,1.62,0.0,0.0,0.0,0.0
2016,0.91,0.0,1.48,0.0,0.0,0.0,0.0,0.85,4.32,1.59,0.0,1.78
2017,1.32,6.08,3.53,2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51
2018,0.0,11.48,0.59,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0
2019,0.0,0.0,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0
2020,11.17,3.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,0.0,1.46,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,0.76,5.76,3.99,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0
2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.0,3.8,1.69,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0
