year,January,February,March,April,May,June,July,August,September,October,November,December
2014,16.77619231,18.11415145,18.57485139,14.50649347,9.745510383,5.902734454,5.180249732,7.365095047,8.401934538,13.11997901,15.65634188,17.79810981
2015,19.69514464,18.82306397,18.5252883,14.8071292,10.07233016,8.516410718,6.274794143,7.611203813,9.458522399,14.24669142,18.4343764,19.46511624
2016,20.59310077,17.84362178,16.01038906,15.74699565,10.87666813,6.120272492,6.983124274,6.151960555,6.564343062,12.04256859,19.46650392,21.15852447
2017,21.66304379,21.65192544,20.75389841,14.43878332,11.19574288,8.194885096,7.065783395,7.510089266,10.26121782,13.40646501,19.1112559,21.25275129
2018,22.67351793,21.65946164,20.38430358,19.46623628,11.61246608,7.970772397,7.100243849,7.039600386,12.55491731,17.54951047,20.39836758,23.02462092
2019,20.48724797,20.60351677,19.94596338,17.37092602,11.18523344,8.737251293,9.619679109,9.073197249,12.58240563,19.14182319,22.35352772,22.62017906
2020,22.79845365,19.75755068,17.87975502,17.53681138,12.78409646,9.728157553,10.19317809,10.92406099,11.2325826,13.17640996,21.91940576,23.43879325
2021,23.49792115,21.50095612,21.81545148,17.60781249,12.5535058,9.269461177,7.730881925,9.457774546,10.48367702,15.02066844,16.29515552,24.26209998
2022,23.74367443,23.30981727,18.60291981,18.23277054,8.462690221,8.523624409,9.456534738,8.236621627,9.325243326,14.51058888,23.53451129,20.84162163
2023,21.06379633,23.41205226,20.97488697,20.69042544,12.42491352,8.657474846,8.717303742,9.462816061,10.39967141,18.80861182,22.20326993,20.42672014
2024,24.7333621,22.2237113,18.60007377,20.35371108,13.25241775,9.817613839,9.111427402,10.36224556,9.968274803,15.74480604,19.7448803,22.34998416
