year,January,February,March,April,May,June,July,August,September,October,November,December
2014,13.74114363,14.87479594,16.83749645,19.27092994,17.46404566,24.63342017,19.63728211,18.76068751,13.96493799,12.27015981,20.40798326,13.65107416
2015,11.97524088,12.97784234,16.99629763,12.71550776,19.49307987,18.56759671,20.24096483,15.27972463,11.78156644,12.09929296,9.982333593,11.28870647
2016,15.28688305,15.73598453,15.64214192,14.97098183,18.61702666,22.15098051,21.22509646,19.57881508,18.13438437,14.28359268,21.55383987,17.09486996
2017,13.98774829,16.92268983,17.55512172,30.14327008,20.39630606,15.74421771,20.70834107,18.15544114,15.83432353,18.60644592,19.58645799,16.12627431
2018,21.76481081,16.36855343,19.80393049,18.67917333,17.85521504,21.73770653,21.92043898,21.69847859,15.35955928,17.71433588,19.58325198,19.17120609
2019,15.20939701,15.27359538,21.39514862,16.90253162,19.69063071,18.86076254,20.21474293,21.61799984,14.4368058,8.869047779,14.44041566,10.06358811
2020,11.95741664,13.72006721,18.72964472,14.64184979,20.47844464,18.94125966,16.21199189,13.33803553,14.97202941,20.63099407,15.39336358,15.06059142
2021,13.11655485,15.4530882,18.31915766,24.14265227,17.01908392,18.2153517,17.87273923,18.30457205,17.53425423,14.64105067,13.45810663,13.05184046
2022,13.24431666,17.19533422,24.87795277,13.53211278,28.35097233,19.77639212,24.015942,17.93113934,16.1651246,15.20859894,21.16374688,17.77077819
2023,16.15388323,15.05049354,15.56188081,16.28404309,16.15047662,19.58926793,18.92123909,14.87971662,14.0089521,14.58875508,10.11668943,10.36910989
2024,14.22286788,17.76884824,22.15469093,15.89758231,21.64458955,18.31087507,22.68015507,17.87157085,17.32801499,11.71286923,18.14701952,18.22886218
