year,January,February,March,April,May,June,July,August,September,October,November,December
2014,0.61775,0.57875,0.61275,0.578,0.641,0.5275,0.52,0.54875,0.5655,0.636,0.6515,0.59825
2015,0.641,0.6195,0.6125,0.602666667,0.56425,0.61725,0.458,0.6,0.65375,0.52,0.6315,0.599
2016,0.64775,0.63375,0.60975,0.611,0.537333333,0.58375,0.583,0.447,0.4995,0.56175,0.533333333,0.6525
2017,0.62725,0.58475,0.57375,0.561333333,0.508,0.52875,0.4855,0.5205,0.573,0.585333333,0.695666667,0.65725
2018,0.61275,0.60975,0.5675,0.590666667,0.519666667,0.55125,0.48,0.50875,0.55775,0.634333333,0.63075,0.56675
2019,0.618,0.577,0.6125,0.563666667,0.54075,0.58,0.525,0.5645,0.59075,0.614,0.6135,0.633
2020,0.63175,0.59175,0.543,0.56975,0.527,0.68025,0.650666667,0.64425,0.541333333,0.6115,0.645,0.6435
2021,0.54325,0.58925,0.5965,0.564,0.565,0.56575,0.47275,0.495,0.623,0.624,0.67,0.66
2022,0.6245,0.599,0.5565,0.583333333,0.55,0.608333333,0.551333333,0.49575,0.52025,0.474,0.6135,0.62
2023,0.65625,0.59275,0.6025,0.594666667,0.502666667,0.57025,0.55375,0.580666667,0.441333333,0.632666667,0.645,0.62075
2024,0.66975,0.633,0.567,0.5975,0.412,0.54,0.588,0.60475,0.58475,0.638333333,0.636,0.67925
