year,pm2.5_ug_m3,frp_total,vim,tc_loss_ha,asthma_live_discharges,bronchitis_live_discharges,no2_ug_m3,so2_ug_m3
2014,17.1261630525,1.7274999999999998,0.5896458333333333,147.0,12389.0,3287.0,12.595136956166668,4.242379171166667
2015,14.449846176083334,0.7125,0.5932847222500001,137.0,11175.0,3010.0,13.82750595025,4.307347042416667
2016,17.85621641,0.9108333333333333,0.5750347221666666,324.0,10895.0,3502.0,13.29650606275,4.173704213166666
2017,18.647219804166667,1.1733333333333333,0.57509027775,314.0,13573.0,3715.0,14.708820134749999,4.27451567375
2018,19.3047217025,1.0375,0.56915972225,234.0,14058.0,3547.0,15.9528348685,4.528485729833334
2019,16.414555499916666,0.15833333333333335,0.5860555555833333,158.0,13613.0,3975.0,16.14341256925,4.353332276166667
2020,16.172974046666667,1.1866666666666668,0.6066458333333333,181.0,6433.0,2128.0,15.947437949416667,4.459501841583333
2021,16.7607043225,0.16416666666666666,0.5807083333333333,428.0,3820.0,1820.0,15.791280470666665,4.227000536666666
2022,19.1027009025,0.915,0.5663749999166666,155.0,13870.0,3549.0,15.565051514250001,4.307897979083333
2023,15.139542285833334,0.0,0.5827708334166667,126.0,12572.0,4520.0,16.436828539083333,4.237528097416667
2024,17.997328818333333,0.6133333333333333,0.5958611110833333,108.0,9917.0,4033.0,16.355209008666666,4.4242804617500004
