year,January,February,March,April,May,June,July,August,September,October,November,December
2014,9.907107151,8.765121158,11.44949054,7.495321534,4.546952349,3.989490572,3.742849564,4.196057431,3.986135965,6.055814803,8.579464278,10.69217847
2015,9.614107773,12.07423415,9.781345445,7.351751903,4.883999179,4.268764402,4.049521691,4.543169132,4.647940129,7.279042918,9.984418774,11.56497206
2016,13.56046676,14.13783129,12.0637085,11.83987118,6.713439918,3.881366833,4.405369565,4.378451293,4.036833715,4.918809948,9.868128898,11.27597799
2017,7.766459372,7.194356425,5.968412783,4.532976118,3.940305664,3.669067667,3.527938697,3.753639438,3.875419067,4.464971463,6.746989357,7.781378141
2018,8.234049078,8.256266364,6.793128164,5.759364038,3.769029033,3.531435164,3.809797228,4.513612869,4.63973739,5.651750145,6.999728775,8.487512515
2019,8.67386725,7.689433112,6.250550722,5.523761668,3.658149132,3.365854987,3.736379108,3.72843053,4.201992731,5.787309915,6.709754709,7.850816629
2020,8.079026188,7.231940684,6.221653993,5.33712581,4.31622356,3.807678181,4.031960004,4.271233235,3.878055063,4.538808266,7.156746049,8.252101301
2021,7.936108067,7.91287905,6.676656958,5.166458459,4.330677508,3.558454219,3.498050408,4.116188685,3.909399043,4.699025206,5.368446165,7.981013828
2022,7.906248087,7.465095146,6.167559477,5.276475788,3.378596327,3.605281944,4.50999454,3.969119357,3.663622614,4.94490638,7.317148363,7.549608463
2023,8.257276337,8.076173745,7.011995494,5.846660642,4.075425569,3.571825942,4.064786294,3.732400083,3.43441434,5.336644369,7.027727882,7.239130502
2024,8.409493226,8.176870868,6.470090999,6.252106266,4.492613006,3.562940312,3.866016565,3.842432504,3.732119255,4.447657974,6.909683277,7.699651632
