month,pm2.5_ug_m3,frp_total,vim,asthma_live_discharges,bronchitis_live_discharges,no2_ug_m3
January,14.819100959999998,2.3790909090909094,0.7704318181818182,8129.909090909091,1532.3636363636363,8.940382662636365
February,15.762824976363635,9.019090909090908,0.7444545454545455,8129.909090909091,1532.3636363636363,8.816381999272728
March,17.32338197909091,7.458181818181817,0.7280681818181818,8129.909090909091,1532.3636363636363,7.714053915909091
April,14.801396553363638,2.0681818181818183,0.7299318182727272,8129.909090909091,1532.3636363636363,6.398352127818182
May,18.41593153909091,0.29090909090909095,0.6945833333636364,8129.909090909091,1532.3636363636363,4.373219204090909
June,19.328936425454547,0.13,0.7111590909090909,8129.909090909091,1532.3636363636363,3.710196383909091
July,20.427716025454547,0.0,0.7016666667272727,8129.909090909091,1532.3636363636363,3.931151242181818
August,17.90045729818182,1.1027272727272726,0.6808030302727274,8129.909090909091,1532.3636363636363,4.094975868818182
September,14.642127366363637,2.190909090909091,0.7055,8129.909090909091,1532.3636363636363,4.0005153920000005
October,12.90865441490909,0.20363636363636364,0.7382803030909091,8129.909090909091,1532.3636363636363,5.284067398818181
November,15.273782823000003,0.0,0.7473939394545455,8129.909090909091,1532.3636363636363,7.515294229727274
December,14.23858366009091,0.0,0.7580454545454546,8129.909090909091,1532.3636363636363,8.761303775545455
