,pm2.5_ug_m3,no2_ug_m3,so2_ug_m3,vim,vim_anomaly,tc_loss_ha,frp_total,carbon_gross_emissions_yearly,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
pm2.5_ug_m3,1.0,-0.3611022173182421,0.14983468350536613,-0.3373935107699143,-0.23085932009665416,0.12311287776529704,-0.15088862883037477,0.12320471997124531,0.0059517998050906,-0.09309803666155642,0.026319042680825456,0.15938867245024269,-0.05295156091757283,0.17987632117635852
no2_ug_m3,-0.3611022173182421,1.0,0.10531740444024323,0.5051802219788339,0.284481818274845,-0.10787891768997812,0.10537046354913114,-0.10061325660509171,-0.14927531785074855,0.020634334250260476,-0.08174218462452543,0.03481165665793296,0.07681732526272686,-0.040802869328071326
so2_ug_m3,0.14983468350536613,0.10531740444024323,1.0,-0.20099415312984406,0.03071835734809271,-0.066600846331706,-0.12585628849908584,-0.06647442550127713,-0.010984671415008043,0.05734749567209139,0.00018463998023524484,0.007190960964347763,0.005817441089721463,-0.04444026155419402
vim,-0.3373935107699143,0.5051802219788339,-0.20099415312984406,1.0,0.7512454529283177,-0.1581738684596674,-0.10918523506029905,-0.15713341449817958,0.07333496217400473,0.19308478996793174,-0.039469305431906625,-0.06709882539254883,-0.11439399566904168,-0.15683470014827808
vim_anomaly,-0.23085932009665416,0.284481818274845,0.03071835734809271,0.7512454529283177,1.0,-0.22027241782886686,-0.001665358175424513,-0.21898263395972845,0.10558908436033088,0.2749503738703197,-0.047444712914999555,-0.08934793819999955,-0.15637293905418867,-0.22426824357341915
tc_loss_ha,0.12311287776529704,-0.10787891768997812,-0.066600846331706,-0.1581738684596674,-0.22027241782886686,1.0,0.26887505730864153,0.9991137438601311,0.15205728771801846,-0.44036915203489,-0.045417977061633544,0.05125483606680093,-0.16225211609379508,0.24590722847455854
frp_total,-0.15088862883037477,0.10537046354913114,-0.12585628849908584,-0.10918523506029905,-0.001665358175424513,0.26887505730864153,1.0,0.2597708103089191,0.18737122220711028,-0.0680835744048478,0.05786921231719712,0.015671854634379416,-0.12246495651922415,0.03696116907506713
carbon_gross_emissions_yearly,0.12320471997124531,-0.10061325660509171,-0.06647442550127713,-0.15713341449817958,-0.21898263395972845,0.9991137438601311,0.2597708103089191,1.0,0.12371089478461711,-0.4483311302780281,-0.0705105617614337,0.04740300337091335,-0.15509940289163635,0.24473018796201837
asthma_live_discharges,0.0059517998050906,-0.14927531785074855,-0.010984671415008043,0.07333496217400473,0.10558908436033088,0.15205728771801846,0.18737122220711028,0.12371089478461711,1.0,0.49772663187200933,0.5981528246092085,0.32092595266750573,-0.6752222293295749,-0.07979455204784783
bronchitis_live_discharges,-0.09309803666155642,0.020634334250260476,0.05734749567209139,0.19308478996793174,0.2749503738703197,-0.44036915203489,-0.0680835744048478,-0.4483311302780281,0.49772663187200933,1.0,0.42803750162982823,0.34117492763574647,-0.26971422771616493,-0.7910543306963558
asthma_deaths,0.026319042680825456,-0.08174218462452543,0.00018463998023524484,-0.039469305431906625,-0.047444712914999555,-0.045417977061633544,0.05786921231719712,-0.0705105617614337,0.5981528246092085,0.42803750162982823,1.0,0.2694747189267519,0.13787970326952978,-0.18574417440363278
bronchitis_deaths,0.15938867245024269,0.03481165665793296,0.007190960964347763,-0.06709882539254883,-0.08934793819999955,0.05125483606680093,0.015671854634379416,0.04740300337091335,0.32092595266750573,0.34117492763574647,0.2694747189267519,1.0,-0.33509174353343885,-0.03705457659403021
asthma_cfr,-0.05295156091757283,0.07681732526272686,0.005817441089721463,-0.11439399566904168,-0.15637293905418867,-0.16225211609379508,-0.12246495651922415,-0.15509940289163635,-0.6752222293295749,-0.26971422771616493,0.13787970326952978,-0.33509174353343885,1.0,-0.13198568722518628
bronchitis_cfr,0.17987632117635852,-0.040802869328071326,-0.04444026155419402,-0.15683470014827808,-0.22426824357341915,0.24590722847455854,0.03696116907506713,0.24473018796201837,-0.07979455204784783,-0.7910543306963558,-0.18574417440363278,-0.03705457659403021,-0.13198568722518628,1.0
