year,January,February,March,April,May,June,July,August,September,October,November,December
2014,49.25,114.88,49.6,15.63,14.76,0.0,10.24,3.38,3.05,1.1,0.51,5.42
2015,7.42,11.3,3.23,13.3,6.62,6.66,9.47,31.39,2.75,8.04,18.34,20.63
2016,64.19,58.48,48.42,58.28,9.72,3.07,9.27,3.2,31.81,49.96,0.21,8.88
2017,10.8,55.5,20.72,23.44,2.16,3.49,0.0,0.0,0.0,2.28,2.53,2.62
2018,10.03,31.58,5.2,6.16,0.0,0.0,0.0,0.0,29.63,0.0,3.17,0.31
2019,43.39,17.9,28.92,10.41,0.0,0.0,0.0,0.0,0.0,1.46,0.0,0.0
2020,15.8,73.54,53.72,11.26,0.94,1.26,1.51,0.0,0.0,0.0,0.0,0.0
2021,0.94,36.93,0.75,2.65,1.93,1.38,0.73,5.38,7.44,0.0,0.0,4.79
2022,11.25,2.18,0.72,4.06,0.0,0.0,0.0,0.0,5.37,0.0,0.0,0.0
2023,2.1,5.61,0.93,2.05,2.31,1.34,0.0,50.71,1.1,0.0,0.0,0.0
2024,1.55,3.62,58.97,0.0,0.0,1.03,0.0,1.1,8.22,0.74,0.0,0.8
