year,January,February,March,April,May,June,July,August,September,October,November,December
2014,13.8417332,14.77837287,16.80491665,19.39744074,17.76074893,24.80989229,19.79155444,18.87318079,14.12223457,12.07752991,20.61729745,13.52823172
2015,11.90224549,12.99014788,16.89590703,12.77316778,19.71808999,18.71149137,20.3768143,15.50085546,11.92692463,12.42659299,9.898543362,11.20444684
2016,15.28484509,15.63402649,15.5218927,15.14227853,18.71853317,22.33429269,21.35530621,19.82892744,18.30752371,14.53770114,21.17115083,17.23968574
2017,13.90624888,16.90331173,17.40449022,30.35418213,20.62081535,15.94130807,20.85247165,18.3035027,15.88960226,18.879037,19.64730639,15.97485077
2018,21.81533213,16.30349761,19.87873199,18.79910345,18.04647018,21.9756317,22.04522726,21.85956604,15.44359205,17.73424696,19.60576679,19.29349287
2019,15.29642924,15.28818837,21.30514152,17.10127008,19.99763333,19.04944336,20.33613974,21.72230398,14.65060213,8.935161675,14.45020742,9.929007721
2020,11.88297816,13.75154672,18.5029429,14.58692572,20.56964191,19.13501568,16.32925918,13.51219116,15.09093721,20.72095014,15.48133479,15.17907384
2021,13.03303396,15.54165454,18.23674394,24.38140809,17.04840615,18.36373477,18.02182907,18.4423993,17.75615631,14.85500669,13.57123249,13.16874032
2022,13.24154133,17.09264306,25.20089779,13.73198793,28.56898997,19.85843814,24.05552884,18.02539361,16.30854708,15.25276207,21.34203515,17.83019391
2023,16.31858551,15.20424839,15.76900969,16.4504209,16.31127353,19.72360662,18.99781149,15.04239291,14.16530078,14.75643739,10.10928396,10.43859904
2024,14.31320524,17.96330868,22.07979704,15.85412395,21.80351437,18.52121177,22.75057212,17.91948854,17.50206024,11.81470231,18.13567772,18.3404672
