year,January,February,March,April,May,June,July,August,September,October,November,December
2014,0.693,0.63425,0.668,0.674333333,0.6925,0.62525,0.617,0.62125,0.638,0.709333333,0.65,0.77275
2015,0.73125,0.68,0.6835,0.695333333,0.6695,0.7145,0.635,0.672,0.6845,0.680333333,0.74175,0.7665
2016,0.7305,0.67975,0.65675,0.6695,0.523333333,0.65525,0.67675,0.58675,0.576,0.63625,0.676666667,0.7145
2017,0.70075,0.6365,0.64225,0.642333333,0.5985,0.6445,0.596,0.644,0.65175,0.664333333,0.728,0.7435
2018,0.6935,0.6665,0.647,0.682333333,0.673,0.66025,0.59875,0.6295,0.64075,0.703333333,0.72025,0.69675
2019,0.7055,0.66325,0.634,0.636333333,0.6485,0.67425,0.655,0.67925,0.682,0.7145,0.7345,0.72125
2020,0.70525,0.6325,0.60025,0.64075,0.668333333,0.73425,0.6965,0.55825,0.61225,0.6605,0.703666667,0.74675
2021,0.714,0.66375,0.6525,0.653,0.66375,0.639,0.607,0.5835,0.668,0.663666667,0.70175,0.74025
2022,0.70025,0.6645,0.62375,0.649,0.653,0.665,0.682,0.55375,0.623,0.653333333,0.71275,0.682
2023,0.728,0.6805,0.678,0.669666667,0.56075,0.677,0.666,0.62525,0.56875,0.706,0.7105,0.74275
2024,0.738,0.684,0.6285,0.67525,0.653,0.67175,0.699666667,0.667,0.658,0.678333333,0.7195,0.741
