month,pm2.5_ug_m3,frp_total,vim,asthma_live_discharges,bronchitis_live_discharges,no2_ug_m3
January,14.62147074818182,19.701818181818183,0.7127272727272728,14891.181818181818,1654.909090909091,15.759896806363635
February,15.586449667272728,37.41090909090909,0.6623181818181818,14891.181818181818,1654.909090909091,15.20797187
March,18.872770133636365,24.652727272727272,0.6467727272727273,14891.181818181818,1654.909090909091,16.243172752727272
April,18.05202811818182,13.385454545454547,0.6625303029090909,14891.181818181818,1654.909090909091,15.693761411818183
May,19.924010625454546,3.494545454545454,0.6367424241818181,14891.181818181818,1654.909090909091,10.063597332818182
June,19.856733314545455,1.6572727272727272,0.6691818181818182,14891.181818181818,1654.909090909091,6.953501007181819
July,20.44659220909091,2.838181818181818,0.6481515151818182,14891.181818181818,1654.909090909091,6.7377717173636364
August,18.09365472090909,8.65090909090909,0.6200454545454546,14891.181818181818,1654.909090909091,7.152240183636363
September,15.560316451818181,8.124545454545455,0.6366363636363637,14891.181818181818,1654.909090909091,8.589930215272728
October,14.726375297727271,5.78,0.6790833331818181,14891.181818181818,1654.909090909091,13.551230621818183
November,16.72998512290909,2.250909090909091,0.7090303030909091,14891.181818181818,1654.909090909091,17.105868372727272
December,14.738799088272726,3.95,0.7334545454545455,14891.181818181818,1654.909090909091,16.754792409999997
