,pm2.5_ug_m3,no2_ug_m3,so2_ug_m3,vim,vim_anomaly,tc_loss_ha,frp_total,carbon_gross_emissions_yearly,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
pm2.5_ug_m3,1.0,-0.4006613378804182,0.39048592046842157,-0.15781608828045368,0.020818727555016795,0.21527171543128637,0.19910960451339382,0.241926615525455,-0.12839845925679555,-0.013159723667906534,-0.18286080382975284,0.057895032845638864,0.11309912640963755,0.10651041475851904
no2_ug_m3,-0.4006613378804182,1.0,-0.24961931600574766,0.20933264175402935,-0.07892129282735223,0.2504541786381366,-0.1602833121871798,0.18942197761328702,0.2594637968445978,-0.14786697603474416,0.05960461322530262,-0.1499663372324336,-0.060562867594800215,0.23105593068743838
so2_ug_m3,0.39048592046842157,-0.24961931600574766,1.0,-0.3827902663953143,0.017524713195534277,0.1400770179395739,0.31162619754667487,0.16450272785284084,-0.14203330868010328,-0.04784092841582127,-0.17152190780709736,0.03855289585054668,0.10685371196304969,0.09626566564030305
vim,-0.15781608828045368,0.20933264175402935,-0.3827902663953143,1.0,0.6517067134512574,-0.13124849100205985,-0.4958888278171877,-0.10956602103894612,-0.08510013354987767,0.0163775238666642,0.011269014168489012,0.13198385026745824,0.029986338808116186,0.008183575084477545
vim_anomaly,0.020818727555016795,-0.07892129282735223,0.017524713195534277,0.6517067134512574,1.0,-0.19802415128687836,-0.2663793133969849,-0.1663363309327787,-0.1259451148805435,0.031859719202421304,0.02442635555760322,0.19815643862306442,0.04802753451840026,0.005634566841971738
tc_loss_ha,0.21527171543128637,0.2504541786381366,0.1400770179395739,-0.13124849100205985,-0.19802415128687836,1.0,0.1376700305489657,0.9883715587685995,-0.044292181422651684,-0.3133594541632703,-0.33994201859939704,-0.15803153059850936,0.15575372696405704,0.6356688428147009
frp_total,0.19910960451339382,-0.1602833121871798,0.31162619754667487,-0.4958888278171877,-0.2663793133969849,0.1376700305489657,1.0,0.11822686118858183,0.014594006285480089,-0.038212911802473576,-0.007849506050771154,-0.1556596724338021,0.030835303681165004,-0.009855951032198664
carbon_gross_emissions_yearly,0.241926615525455,0.18942197761328702,0.16450272785284084,-0.10956602103894612,-0.1663363309327787,0.9883715587685995,0.11822686118858183,1.0,-0.11134512965932815,-0.3255385088576506,-0.40252447108756634,-0.08250959348725112,0.16625225767376808,0.6694627793746059
asthma_live_discharges,-0.12839845925679555,0.2594637968445978,-0.14203330868010328,-0.08510013354987767,-0.1259451148805435,-0.044292181422651684,0.014594006285480089,-0.11134512965932815,1.0,-0.027297275171840375,0.32251850041183605,-0.06475665483090637,-0.7337634647905942,-0.026187917152410933
bronchitis_live_discharges,-0.013159723667906534,-0.14786697603474416,-0.04784092841582127,0.0163775238666642,0.031859719202421304,-0.3133594541632703,-0.038212911802473576,-0.3255385088576506,-0.027297275171840375,1.0,0.7962453372675862,0.6040077532441904,0.5339524834101282,-0.7282246166039505
asthma_deaths,-0.18286080382975284,0.05960461322530262,-0.17152190780709736,0.011269014168489012,0.02442635555760322,-0.33994201859939704,-0.007849506050771154,-0.40252447108756634,0.32251850041183605,0.7962453372675862,1.0,0.35763853158559056,0.23612332298815178,-0.6571241483910452
bronchitis_deaths,0.057895032845638864,-0.1499663372324336,0.03855289585054668,0.13198385026745824,0.19815643862306442,-0.15803153059850936,-0.1556596724338021,-0.08250959348725112,-0.06475665483090637,0.6040077532441904,0.35763853158559056,1.0,0.32603445855872615,-0.05314393101788723
asthma_cfr,0.11309912640963755,-0.060562867594800215,0.10685371196304969,0.029986338808116186,0.04802753451840026,0.15575372696405704,0.030835303681165004,0.16625225767376808,-0.7337634647905942,0.5339524834101282,0.23612332298815178,0.32603445855872615,1.0,-0.2148272922102187
bronchitis_cfr,0.10651041475851904,0.23105593068743838,0.09626566564030305,0.008183575084477545,0.005634566841971738,0.6356688428147009,-0.009855951032198664,0.6694627793746059,-0.026187917152410933,-0.7282246166039505,-0.6571241483910452,-0.05314393101788723,-0.2148272922102187,1.0
