district,target,feature,correlation
Hambantota,asthma_live_discharges,so2_ug_m3,-0.14203330868010364
Hambantota,asthma_live_discharges,pm2.5_ug_m3,-0.12839845925679538
Hambantota,asthma_live_discharges,vim_anomaly,-0.12594511488054344
Hambantota,asthma_live_discharges,carbon_gross_emissions_yearly,-0.11134512965932843
Hambantota,asthma_live_discharges,vim,-0.08510013354987744
Hambantota,asthma_live_discharges,tc_loss_ha,-0.044292181422651865
Hambantota,asthma_live_discharges,frp_total,0.014594006285479948
Hambantota,asthma_live_discharges,no2_ug_m3,0.2594637968445976
Hambantota,bronchitis_live_discharges,carbon_gross_emissions_yearly,-0.3255385088576511
Hambantota,bronchitis_live_discharges,tc_loss_ha,-0.3133594541632702
Hambantota,bronchitis_live_discharges,no2_ug_m3,-0.14786697603474397
Hambantota,bronchitis_live_discharges,so2_ug_m3,-0.04784092841582121
Hambantota,bronchitis_live_discharges,frp_total,-0.03821291180247354
Hambantota,bronchitis_live_discharges,pm2.5_ug_m3,-0.01315972366790645
Hambantota,bronchitis_live_discharges,vim,0.016377523866664467
Hambantota,bronchitis_live_discharges,vim_anomaly,0.0318597192024212
Hambantota,asthma_deaths,carbon_gross_emissions_yearly,-0.4025244710875672
Hambantota,asthma_deaths,tc_loss_ha,-0.33994201859939643
Hambantota,asthma_deaths,pm2.5_ug_m3,-0.18286080382975253
Hambantota,asthma_deaths,so2_ug_m3,-0.1715219078070975
Hambantota,asthma_deaths,frp_total,-0.007849506050771159
Hambantota,asthma_deaths,vim,0.011269014168489293
Hambantota,asthma_deaths,vim_anomaly,0.024426355557603283
Hambantota,asthma_deaths,no2_ug_m3,0.05960461322530261
Hambantota,bronchitis_deaths,tc_loss_ha,-0.15803153059850925
Hambantota,bronchitis_deaths,frp_total,-0.15565967243380222
Hambantota,bronchitis_deaths,no2_ug_m3,-0.14996633723243394
Hambantota,bronchitis_deaths,carbon_gross_emissions_yearly,-0.08250959348725127
Hambantota,bronchitis_deaths,so2_ug_m3,0.03855289585054677
Hambantota,bronchitis_deaths,pm2.5_ug_m3,0.0578950328456388
Hambantota,bronchitis_deaths,vim,0.13198385026745799
Hambantota,bronchitis_deaths,vim_anomaly,0.19815643862306467
Hambantota,asthma_cfr,no2_ug_m3,-0.06056286759480019
Hambantota,asthma_cfr,vim,0.029986338808116443
Hambantota,asthma_cfr,frp_total,0.03083530368116502
Hambantota,asthma_cfr,vim_anomaly,0.04802753451840029
Hambantota,asthma_cfr,so2_ug_m3,0.10685371196304991
Hambantota,asthma_cfr,pm2.5_ug_m3,0.11309912640963755
Hambantota,asthma_cfr,tc_loss_ha,0.15575372696405695
Hambantota,asthma_cfr,carbon_gross_emissions_yearly,0.16625225767376822
Hambantota,bronchitis_cfr,frp_total,-0.009855951032198626
Hambantota,bronchitis_cfr,vim_anomaly,0.0056345668419717524
Hambantota,bronchitis_cfr,vim,0.008183575084477273
Hambantota,bronchitis_cfr,so2_ug_m3,0.09626566564030306
Hambantota,bronchitis_cfr,pm2.5_ug_m3,0.10651041475851901
Hambantota,bronchitis_cfr,no2_ug_m3,0.2310559306874384
Hambantota,bronchitis_cfr,tc_loss_ha,0.6356688428146995
Hambantota,bronchitis_cfr,carbon_gross_emissions_yearly,0.669462779374607
