year,January,February,March,April,May,June,July,August,September,October,November,December
2014,2.66,51.97,142.83,107.25,0.0,37.59,2509.52,5367.7,411.23,17.54,27.33,0.0
2015,14.27,14.28,38.3,35.4,2.25,30.89,125.29,778.59,169.45,30.32,0.0,4.76
2016,14.99,29.77,506.86,341.71,17.76,10.83,799.23,2365.28,487.07,393.72,32.88,10.72
2017,2.3,11.44,100.29,92.29,18.77,8.29,374.72,1791.15,62.22,155.81,77.92,1.46
2018,13.13,59.7,7.12,50.84,11.06,3.67,41.04,3095.33,521.51,6.73,0.0,14.94
2019,33.72,51.62,328.81,76.3,9.56,9.77,65.92,11.31,4.16,0.0,0.0,0.0
2020,33.34,107.6,627.93,264.17,9.65,26.82,213.84,852.57,29.32,148.64,20.53,39.33
2021,11.49,21.5,108.61,11.16,11.43,26.62,480.82,1486.83,392.32,6.48,0.0,11.25
2022,7.21,4.58,14.92,49.59,5.12,5.34,65.48,891.36,1198.55,53.15,13.55,1.78
2023,11.1,27.92,11.88,62.59,7.26,4.47,310.15,2526.65,2.07,0.0,0.0,0.0
2024,0.0,69.14,317.01,19.65,0.0,21.14,22.74,446.53,141.54,17.97,0.0,4.87
