year,January,February,March,April,May,June,July,August,September,October,November,December
2014,7.290911471,6.498737339,7.896594982,10.1591674,4.968768508,3.884535203,3.714130297,3.910494355,3.893179006,6.753518966,7.494310393,9.521814175
2015,8.004518713,8.810902609,10.33974463,11.24169419,5.260522149,4.222441525,3.909957446,4.16836292,4.268215687,8.20692324,9.473609441,9.218166991
2016,8.723956898,9.783481226,12.05136199,15.27206893,7.970697625,3.759423331,4.454609313,4.156405431,3.920555023,5.513932937,8.978531454,9.972672284
2017,5.054548324,4.35372368,5.045490132,4.340877787,3.646315471,3.494267584,3.722362739,3.987884669,3.841676096,4.577157944,5.507309094,5.416063459
2018,5.841053355,5.169154866,5.042146188,4.800318044,3.65952293,3.722450234,4.055888057,4.650633356,4.579086898,5.54139556,5.426692604,6.330527192
2019,6.032872517,4.781111134,4.577974699,4.966951227,3.355902809,3.191968875,3.61803442,3.324649581,3.77919143,5.535672145,4.888311681,4.4558635
2020,4.664231169,3.689684852,4.667654636,4.437766045,4.148053973,3.826348413,4.082327718,3.984543459,3.846377589,4.910929339,5.486320164,5.956956429
2021,5.635207597,4.994510853,4.937925882,4.895945327,4.152643504,3.513564824,3.59857616,4.014539392,3.968201068,4.795473481,4.872544845,5.05558669
2022,5.494645111,4.872504476,5.31559347,4.907375893,3.38359022,3.635078165,4.910140661,4.296770224,3.645387595,4.866649682,5.941059438,6.086308036
2023,5.424994245,4.882481654,5.388437265,4.91426799,4.074510943,3.516428011,4.43702887,3.537630919,3.129299676,5.055511089,5.48088948,4.681251829
2024,5.26653274,4.383639057,4.806700914,5.115987533,4.270761881,3.301707254,4.208148607,3.708991061,3.443408953,4.687092448,5.863339037,6.695612941
