year,January,February,March,April,May,June,July,August,September,October,November,December
2014,14.24746301,13.88975272,16.30107292,14.09691465,15.59415491,23.69634247,19.65131611,18.56314929,13.67118307,8.612391043,17.21359496,10.44615097
2015,11.65597833,12.7899306,15.38805619,8.307171212,17.41761242,17.46738216,20.0346589,15.12723463,11.42878886,7.864766259,8.254591198,9.843177151
2016,15.31425119,17.88603423,12.80072781,10.19864231,16.16412664,21.18035878,20.98062943,19.50708291,18.23348952,14.62207117,17.42024432,16.73624516
2017,14.10328391,15.63178108,13.77988453,25.68691006,19.97302026,15.833459,21.50813894,18.58728679,15.20665672,15.90359241,15.44429659,14.2991414
2018,20.11405147,16.14771668,16.44112654,12.64592419,15.67239534,20.74476451,21.31082559,22.43090134,14.05397701,12.66250711,17.36544393,16.08263928
2019,16.3439102,13.56149729,17.18459795,13.35103221,17.73697876,18.13715182,19.31765833,20.90678619,12.4949854,6.664982554,10.88126599,10.97270396
2020,12.37866274,15.10495456,14.99215216,10.52201635,19.36902958,17.8885428,15.85400998,13.65133338,14.5087697,19.97264683,12.29132943,13.43028065
2021,10.68187861,16.41236328,16.32127535,21.47396262,13.93241363,17.92417362,18.59353952,17.91875971,16.70365002,14.64725913,11.21636352,12.35238318
2022,13.37723929,16.26308387,22.50113145,9.773609451,26.70236865,19.92375777,24.01366468,17.45623553,15.69413663,15.43133709,16.84137555,14.46853906
2023,16.25218589,16.55103618,14.93149326,13.81918685,15.63752337,19.10603406,18.97883205,15.74928723,13.70404791,10.15832583,7.527484669,10.94846078
2024,12.70150146,18.824704,18.76811601,11.23524196,18.81724628,17.8177618,21.96401214,17.66913395,17.18880192,11.45041085,13.69550344,17.26762448
