year,January,February,March,April,May,June,July,August,September,October,November,December
2014,0.75225,0.6795,0.6175,0.619,0.638,0.5895,0.533,0.52275,0.5275,0.602,0.6845,0.6995
2015,0.74175,0.72425,0.67575,0.683666667,0.677,0.67175,0.64375,0.63775,0.67875,0.689666667,0.72125,0.7705
2016,0.76875,0.70275,0.62175,0.61425,0.672,0.70625,0.66225,0.5895,0.531,0.56475,0.612,0.7455
2017,0.72,0.724,0.68075,0.676333333,0.6505,0.66975,0.6285,0.60625,0.6005,0.646666667,0.648666667,0.71725
2018,0.73625,0.72075,0.68675,0.684333333,0.683,0.6895,0.628,0.5465,0.5255,0.687666667,0.7165,0.7515
2019,0.73675,0.6765,0.63025,0.628666667,0.65225,0.64675,0.60575,0.6055,0.7095,0.4,0.72775,0.715
2020,0.75425,0.69475,0.62,0.614,0.680333333,0.70375,0.70575,0.65575,0.6385,0.65075,0.67,0.7375
2021,0.77125,0.71475,0.64625,0.662333333,0.68975,0.637,0.6535,0.588,0.59225,0.676666667,0.7025,0.7205
2022,0.72825,0.69725,0.65325,0.657666667,0.6775,0.656,0.646666667,0.6655,0.61125,0.628,0.6685,0.70525
2023,0.753,0.757,0.66325,0.626333333,0.67825,0.6695,0.6475,0.53375,0.58625,0.712333333,0.717,0.74875
2024,0.76625,0.713,0.64175,0.65425,0.65,0.7415,0.688,0.6405,0.655,0.661,0.701,0.7485
