month,pm2.5_ug_m3,frp_total,vim,asthma_live_discharges,bronchitis_live_discharges,no2_ug_m3
January,14.288218736363637,13.110000000000001,0.7480681818181818,8285.545454545454,838.2727272727273,6.130315649090909
February,15.732986771818183,40.86545454545455,0.7095,8285.545454545454,838.2727272727273,5.656357431454546
March,16.309966742727273,200.41454545454545,0.6488409090909091,8285.545454545454,838.2727272727273,6.3699658898181815
April,13.737328351181818,100.99545454545455,0.6473484848181819,8285.545454545454,838.2727272727273,6.8229473060000005
May,17.91062453090909,8.441818181818181,0.6680530302727273,8285.545454545454,838.2727272727273,4.444662728454546
June,19.06542989,16.85727272727273,0.6710227272727273,8285.545454545454,838.2727272727273,3.6425648562727275
July,20.200662333636362,455.34090909090907,0.6402424242727273,8285.545454545454,838.2727272727273,4.064654935272727
August,17.960653722727272,1783.0272727272727,0.5992500000000001,8285.545454545454,838.2727272727273,3.976445942454546
September,14.808044250909091,310.85818181818183,0.605090909090909,8285.545454545454,838.2727272727273,3.846779911
October,12.544571843272728,75.48727272727272,0.6290454546363636,8285.545454545454,838.2727272727273,5.4949324391818175
November,13.468317599727271,15.655454545454546,0.6881515151818182,8285.545454545454,838.2727272727273,6.310265239181818
December,13.349758733727272,8.100909090909092,0.7327045454545456,8285.545454545454,838.2727272727273,6.671893047818182
