year,January,February,March,April,May,June,July,August,September,October,November,December
2014,0.0,3.03,63.65,207.48,25.99,14.97,1.99,37.09,5.57,0.0,1.92,0.0
2015,0.0,0.0,0.0,14.8,4.9,1.4,0.0,6.92,5.44,10.43,0.0,0.0
2016,10.78,10.69,39.3,14.14,8.62,0.0,0.0,3.18,14.31,17.0,3.23,8.18
2017,12.67,10.31,5.23,12.88,23.8,28.0,13.94,7.19,4.7,3.09,0.0,2.63
2018,41.89,10.96,12.15,29.31,6.68,14.86,7.24,17.37,13.14,0.0,3.58,0.0
2019,0.0,6.96,37.73,98.53,22.1,2.82,0.0,0.0,0.0,5.71,0.0,0.0
2020,19.92,3.11,51.82,13.57,18.09,3.08,6.68,0.0,8.81,21.52,0.0,0.0
2021,0.0,29.43,19.4,46.89,8.34,24.02,3.44,12.63,18.72,14.37,0.0,4.72
2022,0.0,0.0,0.0,2.11,0.0,7.14,23.33,0.0,7.54,8.34,0.0,0.0
2023,6.72,0.0,15.14,13.74,23.44,5.25,17.71,57.17,12.06,6.23,0.0,0.0
2024,0.0,0.0,2.29,3.01,0.0,2.99,2.63,23.87,11.16,0.0,0.0,0.0
