year,January,February,March,April,May,June,July,August,September,October,November,December
2014,0.549079539,0.607626234,0.779780757,1.518744359,1.431221989,1.717409947,1.649534573,1.511417837,1.533617753,1.200949559,1.271217531,0.870939611
2015,0.655984783,0.717466815,0.986114706,1.373675377,1.562471917,1.324788699,1.722307403,1.646132696,1.529663175,1.236426614,1.30304646,0.772157858
2016,0.724101573,1.04025326,1.558831882,2.37209302,1.739919624,1.688504773,1.810019314,2.144647709,2.05492283,1.443738364,0.728768302,1.000401172
2017,0.527728001,0.586718294,1.15064346,1.638360016,1.825335011,2.028420251,2.349130784,1.930774904,1.627676355,1.496710661,1.006417111,0.687553633
2018,0.659111007,0.525071281,0.824263139,1.075465887,1.369497081,1.641196674,1.927040839,2.422670314,1.979191397,1.16855862,0.97270815,0.767287266
2019,0.575332836,0.747594414,0.919989133,1.244236275,1.462472778,2.010494794,1.960528035,1.631928852,1.76090677,1.293627623,0.889436764,0.59758889
2020,0.517568776,0.455006916,0.683122739,1.093781726,1.348038516,1.718383351,1.856797589,1.616921523,1.611249246,1.702020825,1.045992437,0.742302445
2021,0.643447499,0.519472232,0.571131707,1.129779558,1.319319175,1.464497674,1.788882246,1.765963098,1.782948963,1.390280575,1.419527116,0.699606699
2022,0.71939121,0.50946072,0.988528368,1.069929554,1.396373291,1.692204706,1.785465526,1.7110745,1.493384278,1.662730259,1.221139554,0.977420422
2023,0.508612429,0.521748818,0.852918539,0.885438703,1.494154112,1.904174907,2.018838724,1.988311651,1.525628239,1.376902277,0.989237848,1.039174317
2024,0.598902014,0.601175927,0.626716538,1.256091498,1.609600652,1.428812359,1.650327837,1.469428833,1.724867815,1.523935854,1.022620219,1.41925856
