year,January,February,March,April,May,June,July,August,September,October,November,December
2014,18.79130367,15.07874819,19.18416676,19.04293918,25.35580252,28.88477032,24.03794996,22.89146769,18.86759312,13.23409989,30.91097048,21.64499375
2015,13.5711206,15.71466105,18.299708,10.75282957,27.67188213,23.19547057,24.67600084,20.9825986,17.05577908,11.20736672,9.979671031,12.85903856
2016,17.66416076,16.62068619,14.1435178,17.76395571,21.63790743,24.52010771,22.42671457,21.79579355,21.28114358,27.4845802,25.06364093,26.4790573
2017,17.38875796,17.76856086,16.61413387,36.23265384,26.96549548,22.34860168,22.86665675,21.07554703,17.62619068,19.98294407,22.38226965,19.31720776
2018,26.2895908,21.29481816,25.44070422,17.17996695,22.65640159,28.21711445,24.34545978,24.55301777,18.59287227,17.43325583,25.07113148,25.54376374
2019,19.97689536,17.05577452,21.6593139,16.98708871,34.57850574,25.48573064,24.01605831,25.68524213,19.35731376,6.611834299,21.65634141,12.74275261
2020,12.70505218,15.95199195,17.37722002,13.84602713,20.9474955,22.33098457,18.40320182,19.1088565,18.30323826,23.52498209,19.52771952,23.653335
2021,15.4638455,20.43735855,22.91855278,28.62562631,16.07583834,21.94291231,20.29115047,19.52432534,20.77772591,18.71770163,19.80939825,17.04383493
2022,16.88719914,20.90166487,31.92957159,13.91253476,37.94025664,23.3938582,24.05758945,21.67332179,19.88763186,15.83665577,32.24303777,22.61261234
2023,22.11953674,23.90145126,20.77998597,17.87351582,24.15559462,24.35956499,23.92449031,21.80017603,21.25349272,20.28483917,11.96776684,19.80968154
2024,19.48781054,24.02865071,24.01846548,15.39305435,22.0594116,22.7212081,25.63929216,20.39627946,21.53568319,14.02663791,22.80229715,24.5140403
