year,January,February,March,April,May,June,July,August,September,October,November,December
2014,0.5225,0.4705,0.404,0.378666667,0.389,0.38175,0.376,0.39225,0.413,0.49,0.537333333,0.4625
2015,0.508,0.47175,0.42775,0.463,0.41375,0.46175,0.4235,0.3975,0.42275,0.493666667,0.5245,0.5305
2016,0.52075,0.46,0.42675,0.4095,0.395333333,0.4635,0.467666667,0.42725,0.41175,0.412,0.458,0.525
2017,0.521,0.498,0.45875,0.405,0.3575,0.40225,0.3695,0.41825,0.44975,0.425666667,0.48075,0.5275
2018,0.50175,0.43875,0.416,0.401666667,0.41775,0.43775,0.38925,0.3605,0.38325,0.4595,0.507,0.48675
2019,0.51425,0.4385,0.407,0.399666667,0.36825,0.36725,0.363,0.39625,0.4495,0.578333333,0.53325,0.52725
2020,0.519,0.4595,0.414,0.41475,0.439666667,0.42325,0.42675,0.44975,0.417,0.44275,0.501,0.44725
2021,0.44075,0.45725,0.417,0.431,0.451,0.45875,0.42375,0.42575,0.43225,0.476333333,0.465666667,0.5085
2022,0.49675,0.46375,0.455,0.493333333,0.4835,0.46025,0.430666667,0.46775,0.454,0.512,0.534,0.5225
2023,0.49975,0.47625,0.46,0.444,0.4055,0.4515,0.45,0.40775,0.4175,0.446,0.53325,0.51725
2024,0.5445,0.4715,0.449,0.4285,0.452,0.5015,0.491,0.4745,0.43225,0.46325,0.384333333,0.475
