month,pm2.5_ug_m3,frp_total,vim,asthma_live_discharges,bronchitis_live_discharges,no2_ug_m3
January,18.213206659090908,8.361818181818181,0.5080909090909091,7026.545454545455,784.9090909090909,0.6072054242727273
February,18.977669664545456,6.7718181818181815,0.46415909090909085,7026.545454545455,784.9090909090909,0.6210540828181818
March,21.124121853636364,22.42818181818182,0.4304772727272727,7026.545454545455,784.9090909090909,0.9038219061818182
April,18.873653848181817,41.49636363636363,0.42446212127272726,7026.545454545455,784.9090909090909,1.3325087248181817
May,25.458599235454543,12.905454545454546,0.41575,7026.545454545455,784.9090909090909,1.505309467818182
June,24.30912032181818,9.502727272727272,0.43722727272727274,7026.545454545455,784.9090909090909,1.692626194090909
July,23.15314222,6.996363636363636,0.419189394,7026.545454545455,784.9090909090909,1.865352079090909
August,21.771511444545453,15.038181818181819,0.41977272727272724,7026.545454545455,784.9090909090909,1.8035701742727275
September,19.50351494818182,9.222727272727273,0.42572727272727273,7026.545454545455,784.9090909090909,1.6930960746363637
October,17.122263416272727,7.880909090909091,0.4726818181818182,7026.545454545455,784.9090909090909,1.4087164755454546
November,21.946749501,0.7936363636363637,0.496280303,7026.545454545455,784.9090909090909,1.0791010447272726
December,20.565483439090908,1.4118181818181819,0.5027272727272728,7026.545454545455,784.9090909090909,0.8703355339090909
