,pm2.5_ug_m3,no2_ug_m3,so2_ug_m3,vim,vim_anomaly,tc_loss_ha,frp_total,carbon_gross_emissions_yearly,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
pm2.5_ug_m3,1.0,-0.35245109537422736,-0.07134440437747674,-0.32965920480115757,-0.20489176907779946,0.17776468950888238,-0.010574177478457946,0.16717497979742343,-0.13582881683341747,-0.08786041507351802,0.04342224860376145,-0.10378125033223719,0.17427957472492603,0.07626066292170126
no2_ug_m3,-0.35245109537422736,1.0,0.7990757887250434,0.6828106716415286,0.31669487272854224,0.06304895729051294,0.24252311145329308,0.08533069859862616,-0.10299783234281606,0.014608915171309488,-0.12675185444587014,-0.002246069530802712,0.046060763350820114,-0.10876913522755408
so2_ug_m3,-0.07134440437747674,0.7990757887250434,1.0,0.5632788658502575,0.25921717256117577,0.03122410625364828,0.2966219668027069,0.02894188570053625,-0.1238978271164585,-0.02050681891820036,-0.048021593404273547,-0.03265985998905463,0.15081426796074582,0.005898019617618335
vim,-0.32965920480115757,0.6828106716415286,0.5632788658502575,1.0,0.8126088884135443,-0.011150112097185418,0.07948830440984447,-0.02086281751994357,0.028854108071127784,0.021316707850250763,0.023735126619730686,0.01406668575955154,-0.006082029264518351,0.03977200412686026
vim_anomaly,-0.20489176907779946,0.31669487272854224,0.25921717256117577,0.8126088884135443,1.0,-0.0152876963542116,0.08241981021546835,-0.029617976045149173,0.04104325810834219,0.030688468068238006,0.03546108237699198,0.019859342845208797,-0.008208273970432011,0.058555448626905836
tc_loss_ha,0.17776468950888238,0.06304895729051294,0.03122410625364828,-0.011150112097185418,-0.0152876963542116,1.0,0.0627194238092452,0.9921863646516769,-0.44447841106177216,-0.29439743991719136,0.07550039460673712,-0.5191575952780338,0.1746831372307498,0.15172621611993023
frp_total,-0.010574177478457946,0.24252311145329308,0.2966219668027069,0.07948830440984447,0.08241981021546835,0.0627194238092452,1.0,0.04519477107762578,-0.04425056391772299,0.010187184038152273,0.006137257511144665,-0.14875701682063736,-0.009040755927491179,-0.03243748495611056
carbon_gross_emissions_yearly,0.16717497979742343,0.08533069859862616,0.02894188570053625,-0.02086281751994357,-0.029617976045149173,0.9921863646516769,0.04519477107762578,1.0,-0.46793457199081856,-0.3096659250911211,-0.0011489744033210722,-0.5234644495291289,0.14688881814560256,0.09796250130600247
asthma_live_discharges,-0.13582881683341747,-0.10299783234281606,-0.1238978271164585,0.028854108071127784,0.04104325810834219,-0.44447841106177216,-0.04425056391772299,-0.46793457199081856,1.0,0.17308531788556913,0.5228866003300918,0.4500213828354408,-0.7283461074431966,0.18608938056747576
bronchitis_live_discharges,-0.08786041507351802,0.014608915171309488,-0.02050681891820036,0.021316707850250763,0.030688468068238006,-0.29439743991719136,0.010187184038152273,-0.3096659250911211,0.17308531788556913,1.0,0.15175896705210343,0.6176554752378398,0.1993618462838003,-0.7471840870071991
asthma_deaths,0.04342224860376145,-0.12675185444587014,-0.048021593404273547,0.023735126619730686,0.03546108237699198,0.07550039460673712,0.006137257511144665,-0.0011489744033210722,0.5228866003300918,0.15175896705210343,1.0,0.47873545285657804,-0.10667489334254675,0.3197616535098274
bronchitis_deaths,-0.10378125033223719,-0.002246069530802712,-0.03265985998905463,0.01406668575955154,0.019859342845208797,-0.5191575952780338,-0.14875701682063736,-0.5234644495291289,0.4500213828354408,0.6176554752378398,0.47873545285657804,1.0,0.10762824210627901,-0.24355018588850585
asthma_cfr,0.17427957472492603,0.046060763350820114,0.15081426796074582,-0.006082029264518351,-0.008208273970432011,0.1746831372307498,-0.009040755927491179,0.14688881814560256,-0.7283461074431966,0.1993618462838003,-0.10667489334254675,0.10762824210627901,1.0,-0.09943349841296482
bronchitis_cfr,0.07626066292170126,-0.10876913522755408,0.005898019617618335,0.03977200412686026,0.058555448626905836,0.15172621611993023,-0.03243748495611056,0.09796250130600247,0.18608938056747576,-0.7471840870071991,0.3197616535098274,-0.24355018588850585,-0.09943349841296482,1.0
