year,January,February,March,April,May,June,July,August,September,October,November,December
2014,29.23,63.29,34.84,21.25,3.3,0.0,6.22,0.0,0.0,0.0,0.0,0.0
2015,1.92,3.49,7.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,0.0,15.12,19.94,0.0,0.0,0.0,0.0,0.0,11.03,8.38,2.89,2.35
2017,38.45,13.97,7.09,0.0,0.0,0.0,0.0,60.89,0.0,0.0,2.66,0.0
2018,31.8,17.22,0.0,0.0,0.0,0.0,1.24,0.0,21.57,0.0,0.0,0.0
2019,24.39,15.53,6.4,9.91,4.6,0.0,0.0,0.0,0.0,0.48,0.0,0.93
2020,12.07,43.31,90.32,19.07,9.83,0.0,0.0,0.0,0.0,0.0,2.6,9.31
2021,0.0,21.28,26.89,9.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,29.63,36.33,3.72,0.0,0.0,0.0,0.0,0.0,2.24,0.0,0.0,0.0
2023,0.0,14.73,0.0,0.0,0.0,0.0,0.0,3.28,0.0,0.0,0.0,0.0
2024,0.0,12.33,8.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
