year,January,February,March,April,May,June,July,August,September,October,November,December
2014,17.44586127,18.69650436,19.04980114,15.00920067,10.11365484,6.100546773,5.349653115,7.627526154,8.722409727,13.58530598,16.20824096,18.48599816
2015,20.49934892,19.57439619,19.10920873,15.35244223,10.44995671,8.838714473,6.497448234,7.870921442,9.810802033,14.75818936,19.10538364,20.10158063
2016,21.37125471,18.3748403,16.29212788,16.15934417,11.24467093,6.333240451,7.241089875,6.357041297,6.804315915,12.52184034,20.20001643,21.98378224
2017,22.59138307,22.60721535,21.6169605,15.07980034,11.6620689,8.518927482,7.335139862,7.789842984,10.68896186,13.97807656,19.93043108,22.20218515
2018,23.68450072,22.58273951,21.20833191,20.31470412,12.1229771,8.292817694,7.343777447,7.262655129,13.10388446,18.31288044,21.28577089,24.04565869
2019,21.4200333,21.45707007,20.7781471,18.14063281,11.68400705,9.101278196,10.02082009,9.438138063,13.11946859,19.9695082,23.28309389,23.54451997
2020,23.77063835,20.56166901,18.63911235,18.30869056,13.34822492,10.13823942,10.6198458,11.38219148,11.71830541,13.74432418,22.84328414,24.48761832
2021,24.49942979,22.47112691,22.73683696,18.40396321,13.10694712,9.659489956,8.034194647,9.851152588,10.9416194,15.68489157,17.01871907,25.33486874
2022,24.76065266,24.34783643,19.43259172,19.06122078,8.829807169,8.867675069,9.838588855,8.557890097,9.717761012,15.14032637,24.61531054,21.76141371
2023,22.00362896,24.41759365,21.87395753,21.6217483,12.98496104,9.004850157,9.064513598,9.82805461,10.84845272,19.61220972,23.15152429,21.28323588
2024,25.76623247,23.16026926,19.33636411,21.2387606,13.84172893,10.22778016,9.49056028,10.80775425,10.38057258,16.43076688,20.62462297,23.37236889
