year,January,February,March,April,May,June,July,August,September,October,November,December
2014,0.73525,0.71325,0.72725,0.715666667,0.734,0.6895,0.69925,0.68575,0.6935,0.747333333,0.7355,0.7645
2015,0.7635,0.72375,0.7325,0.749333333,0.72025,0.72175,0.65775,0.705,0.711,0.736666667,0.70075,0.76675
2016,0.7715,0.747,0.73075,0.731,0.703333333,0.73475,0.69525,0.662,0.638,0.72325,0.698,0.77075
2017,0.76275,0.7265,0.70025,0.699333333,0.67625,0.68275,0.65775,0.65575,0.68975,0.713,0.766333333,0.76775
2018,0.738,0.72575,0.711,0.744333333,0.711333333,0.692,0.64325,0.646,0.67175,0.759333333,0.753,0.74275
2019,0.75125,0.7175,0.73025,0.724,0.7065,0.62825,0.70375,0.67125,0.7175,0.745333333,0.743,0.75125
2020,0.7585,0.7345,0.70425,0.71775,0.693,0.71975,0.718,0.6855,0.6255,0.70925,0.710333333,0.7515
2021,0.7765,0.726,0.71725,0.720333333,0.7175,0.7015,0.65025,0.6545,0.6895,0.720666667,0.72025,0.768
2022,0.75175,0.73525,0.691,0.738666667,0.677,0.69625,0.707666667,0.59875,0.65225,0.610666667,0.72225,0.7335
2023,0.7555,0.72025,0.7005,0.727,0.7075,0.69075,0.666,0.66025,0.5585,0.759,0.7525,0.755
2024,0.76475,0.7365,0.70675,0.71,0.698,0.674,0.72,0.67525,0.6925,0.716,0.736,0.77225
