month,pm2.5_ug_m3,frp_total,vim,asthma_live_discharges,bronchitis_live_discharges,no2_ug_m3
January,15.079797444545454,15.226363636363637,0.7572045454545454,7009.090909090909,1556.0,22.528451292727272
February,16.020031266363638,23.327272727272728,0.727840909090909,7009.090909090909,1556.0,21.65920554909091
March,18.307865874545453,18.64636363636364,0.7137954545454546,7009.090909090909,1556.0,20.006676357272728
April,16.19222303727273,5.39,0.7252196969090909,7009.090909090909,1556.0,18.062773435454545
May,18.94832991090909,1.6118181818181816,0.704060606,7009.090909090909,1556.0,11.762636791727273
June,19.655952066363636,0.0,0.69375,7009.090909090909,1556.0,8.643959984636364
July,20.514436503636365,0.6781818181818182,0.6835378788181818,7009.090909090909,1556.0,8.257784709363635
August,17.984147425454548,5.833636363636364,0.6636363636363636,7009.090909090909,1556.0,8.797560735818182
September,14.984334658181819,3.1672727272727275,0.66725,7009.090909090909,1556.0,10.532413973363637
October,13.554218136000001,0.8054545454545455,0.7218636363636364,7009.090909090909,1556.0,15.794392690909092
November,16.62252143372727,0.740909090909091,0.7307196969090909,7009.090909090909,1556.0,20.75149071818182
December,14.766192951818182,1.1445454545454548,0.7585454545454545,7009.090909090909,1556.0,22.41847548909091
