,pm2.5_ug_m3,no2_ug_m3,so2_ug_m3,vim,vim_anomaly,tc_loss_ha,frp_total,carbon_gross_emissions_yearly,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
pm2.5_ug_m3,1.0,-0.26110462501162496,0.32939585850149405,-0.30215178677471966,-0.09495478212569308,-0.01145582932713471,0.10094531325965925,-0.00522685840890414,0.028739431987400962,-0.03030322412324767,0.036545323944422704,0.10723396589507073,0.03509294920262672,0.07909140590450078
no2_ug_m3,-0.26110462501162496,1.0,-0.5351850646963251,0.319652686259456,0.039434639974231446,-0.03330384190712907,-0.09462537369207837,-0.04407787661039829,-0.21825746759615086,0.05580195210671535,-0.336996443871522,-0.022294778326246514,-0.23079340489883912,-0.16331722824487707
so2_ug_m3,0.32939585850149405,-0.5351850646963251,1.0,-0.5048097152744119,-0.05649424635864727,-0.004429132704176153,-0.010724877744595396,-0.0029900802769926536,-0.026687135893062226,0.003360563936635865,-0.024061418358853944,0.014120205407883264,-0.011415337009872064,-0.019624187014676067
vim,-0.30215178677471966,0.319652686259456,-0.5048097152744119,1.0,0.7828343186605144,-0.09022777447434606,-0.2461321900703012,-0.09250527393947496,-0.07054930449834981,0.01159762341861286,-0.08693662694373383,-0.09063853523764265,-0.034692945297153256,-0.06325950452177603
vim_anomaly,-0.09495478212569308,0.039434639974231446,-0.05649424635864727,0.7828343186605144,1.0,-0.11594613663517574,-0.05097299424361572,-0.11838843082103757,-0.08250213806586527,0.020297495213099825,-0.10230143906437776,-0.10579007895451893,-0.03940256130663813,-0.08145773209009267
tc_loss_ha,-0.01145582932713471,-0.03330384190712907,-0.004429132704176153,-0.09022777447434606,-0.11594613663517574,1.0,0.13139139521393753,0.9954186867584458,-0.08130886374083991,-0.4456388803783046,-0.1027428257453419,-0.05370785016255423,-0.13024234398801604,0.4876519126299419
frp_total,0.10094531325965925,-0.09462537369207837,-0.010724877744595396,-0.2461321900703012,-0.05097299424361572,0.13139139521393753,1.0,0.1213147033904811,-0.0015824676566135309,-0.1308012682587841,0.006867687824983395,-0.07915079384047435,-0.006677927267774202,0.1380556999203007
carbon_gross_emissions_yearly,-0.00522685840890414,-0.04407787661039829,-0.0029900802769926536,-0.09250527393947496,-0.11838843082103757,0.9954186867584458,0.1213147033904811,1.0,-0.07854690675567962,-0.44677029246801647,-0.06060536400131765,-0.0364550901330448,-0.06155107889641673,0.4904250638194324
asthma_live_discharges,0.028739431987400962,-0.21825746759615086,-0.026687135893062226,-0.07054930449834981,-0.08250213806586527,-0.08130886374083991,-0.0015824676566135309,-0.07854690675567962,1.0,0.45786039147810215,0.7357221241730451,0.6445822733327076,-0.015484783639204405,0.17359969718880747
bronchitis_live_discharges,-0.03030322412324767,0.05580195210671535,0.003360563936635865,0.01159762341861286,0.020297495213099825,-0.4456388803783046,-0.1308012682587841,-0.44677029246801647,0.45786039147810215,1.0,0.10639035548908313,0.6794996346630291,-0.3099830511791696,-0.7655726211809158
asthma_deaths,0.036545323944422704,-0.336996443871522,-0.024061418358853944,-0.08693662694373383,-0.10230143906437776,-0.1027428257453419,0.006867687824983395,-0.06060536400131765,0.7357221241730451,0.10639035548908313,1.0,0.3775744432793618,0.6430397459501508,0.3259521720411049
bronchitis_deaths,0.10723396589507073,-0.022294778326246514,0.014120205407883264,-0.09063853523764265,-0.10579007895451893,-0.05370785016255423,-0.07915079384047435,-0.0364550901330448,0.6445822733327076,0.6794996346630291,0.3775744432793618,1.0,-0.16262982795383615,-0.19253800897276688
asthma_cfr,0.03509294920262672,-0.23079340489883912,-0.011415337009872064,-0.034692945297153256,-0.03940256130663813,-0.13024234398801604,-0.006677927267774202,-0.06155107889641673,-0.015484783639204405,-0.3099830511791696,0.6430397459501508,-0.16262982795383615,1.0,0.2647471932954567
bronchitis_cfr,0.07909140590450078,-0.16331722824487707,-0.019624187014676067,-0.06325950452177603,-0.08145773209009267,0.4876519126299419,0.1380556999203007,0.4904250638194324,0.17359969718880747,-0.7655726211809158,0.3259521720411049,-0.19253800897276688,0.2647471932954567,1.0
