year,January,February,March,April,May,June,July,August,September,October,November,December
2014,9.28,187.39,187.83,2.98,0.0,8.97,29.58,126.32,137.21,41.28,0.0,0.0
2015,7.09,18.71,31.34,0.0,5.16,2.72,2.62,51.35,17.95,0.0,0.0,0.0
2016,22.29,118.12,245.17,6.02,3.26,14.64,2.01,89.93,259.87,122.46,0.0,27.5
2017,82.16,24.94,29.91,26.22,0.0,15.92,46.07,0.94,28.52,30.7,0.0,0.0
2018,20.27,112.71,4.39,3.29,0.0,0.0,12.8,9.02,144.61,0.0,0.0,3.6
2019,23.82,15.71,367.09,7.83,16.48,16.58,171.4,31.45,152.76,0.0,0.0,0.0
2020,59.66,101.28,367.16,82.47,2.41,6.02,4.91,24.9,0.0,78.68,0.0,0.0
2021,0.0,19.02,134.43,11.03,0.0,10.09,3.45,5.98,242.68,25.84,0.0,9.19
2022,38.51,67.8,36.4,0.0,5.56,7.75,63.44,0.0,264.22,20.17,0.0,0.0
2023,0.0,8.41,37.63,6.9,4.06,83.4,89.6,216.54,24.44,14.52,0.0,0.0
2024,47.27,48.25,185.15,21.74,0.0,0.0,9.29,33.19,122.61,0.0,0.0,0.0
