year,January,February,March,April,May,June,July,August,September,October,November,December
2014,9.220350508,10.60710753,10.52362148,12.74058643,9.432924851,5.392962845,4.758652327,6.924221831,7.998311197,11.26555832,12.11014067,10.80413657
2015,10.48313594,10.84237248,12.56130582,13.24199281,9.775633408,7.589574732,5.823611976,7.03315575,8.891954832,11.69549006,13.25917344,11.50415477
2016,10.59636592,10.98211085,11.85378813,13.2412566,10.05138279,6.147479343,6.840970786,6.478567677,6.828838486,11.11654759,12.92225935,13.54830406
2017,12.47389373,12.96161231,16.2439425,13.54557579,10.11105479,7.43414615,7.20850586,7.41885147,9.526421799,11.7604052,14.04738366,14.04080893
2018,13.69655268,12.42631046,14.76374815,15.27716647,11.45608862,7.591926481,6.855627087,6.899651857,11.03596905,14.94009896,15.14554286,14.74466455
2019,11.82555679,13.48185845,15.66384255,15.65636597,9.881620683,7.973567502,8.953836221,8.38972158,11.16065419,16.14914855,16.9794094,13.75446511
2020,14.04697853,11.15031013,13.8393235,14.56592639,11.7555972,8.984517754,10.10769646,9.510960151,10.54923848,11.91163192,15.67299842,14.58118168
2021,14.78151188,13.16843202,15.93542385,15.82642255,11.42862822,8.845279534,7.668426993,8.850668743,10.12039011,13.65791518,14.57364516,14.9980692
2022,15.47109752,13.32527768,14.99257062,16.00874867,8.549013385,8.676112616,9.286415676,8.144658122,9.178683,13.33838468,17.45162355,14.23447509
2023,12.44989326,12.85879583,15.30966172,16.34988142,12.4095312,8.248517837,8.041326809,8.924478285,9.996666677,15.88919847,17.19825433,12.7557987
2024,14.61056423,12.71670691,14.20073025,15.91385164,12.38708777,9.048118357,7.806008715,9.997123434,9.132587455,14.64156406,15.07719115,16.45872902
