year,January,February,March,April,May,June,July,August,September,October,November,December
2014,10.91720586,11.7536774,14.59160585,15.22250824,14.41828982,18.42918609,14.76614469,14.69750794,11.76841832,8.602880762,17.44080872,8.464749193
2015,9.57296778,10.23487406,14.17633891,10.32517222,16.35864919,14.97002833,15.67151418,11.44323271,8.441221674,7.809069407,6.570792981,7.249739351
2016,12.56348724,12.68998801,11.65094998,11.87433546,13.3531461,16.40649021,17.43379738,15.70089849,15.33320455,15.0668337,14.29711103,13.64261661
2017,11.34311114,13.00608444,13.87299917,25.01839339,15.29265903,12.24063105,17.88111869,14.26020356,11.55202947,13.64486885,14.13256329,10.37018442
2018,17.90390922,12.98528763,16.39357284,13.22671985,14.14424221,15.71353818,16.7719185,19.15730801,13.31246296,10.91826802,15.65564935,15.31886761
2019,12.62891325,11.22689752,17.136267,15.04808419,16.10678069,14.64868279,16.92482584,16.63626538,11.36553561,6.826002938,11.15209118,6.910352331
2020,9.208714333,11.26783684,13.61486472,10.61987934,15.76341822,13.95990104,12.37008125,11.52367343,10.86265419,16.55350435,10.35293644,10.65755437
2021,8.873300027,12.74328539,14.7542082,21.15168995,11.9659878,14.17665608,13.5299539,13.92615029,13.58754079,11.39916859,10.30600625,9.490044818
2022,10.19344281,13.34017855,21.61995899,11.50231542,21.64590507,14.7792544,19.90640733,13.76763409,12.93064541,11.58795273,16.56175319,12.52666194
2023,13.33314765,12.75650545,12.92444781,14.1375865,13.72208878,14.18245855,14.74533262,12.10510488,9.76123054,10.7546411,7.269813697,7.260060235
2024,10.74841397,15.74032733,17.34940781,11.69641639,14.88779101,12.71029866,18.46522953,13.89780508,13.16530469,9.865544883,11.36358884,14.32270721
