year,January,February,March,April,May,June,July,August,September,October,November,December
2014,0.7935,0.742,0.73,0.713333333,0.73125,0.744,0.70425,0.71825,0.71375,0.764666667,0.632,0.77325
2015,0.7845,0.76925,0.74175,0.751666667,0.7075,0.75875,0.741,0.7445,0.7,0.778666667,0.78725,0.781
2016,0.7915,0.75625,0.73375,0.74225,0.741333333,0.70525,0.751,0.69575,0.661,0.6945,0.769666667,0.776
2017,0.77625,0.76775,0.757,0.737333333,0.7345,0.744,0.70625,0.67,0.73225,0.774666667,0.6705,0.7905
2018,0.765,0.77425,0.741,0.740666667,0.7,0.751,0.701,0.66,0.72175,0.784,0.77,0.7955
2019,0.78,0.753,0.71525,0.751666667,0.74,0.7315,0.7255,0.70975,0.727,0.7255,0.785,0.77375
2020,0.78825,0.7585,0.71875,0.71575,0.744333333,0.76875,0.779,0.70325,0.7535,0.6995,0.764666667,0.7805
2021,0.80425,0.76875,0.741,0.741,0.744,0.75775,0.75325,0.7015,0.677,0.768666667,0.75125,0.794
2022,0.775,0.7655,0.74025,0.719666667,0.73775,0.70575,0.722333333,0.76775,0.7415,0.633666667,0.775,0.73775
2023,0.77025,0.7755,0.74,0.744666667,0.73925,0.75425,0.75925,0.707666667,0.594,0.723333333,0.78525,0.776
2024,0.79425,0.77,0.7345,0.71875,0.731,0.75725,0.756333333,0.755,0.72175,0.76475,0.694,0.77725
