year,January,February,March,April,May,June,July,August,September,October,November,December
2014,14.28,104.0,29.17,3.24,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,3.31,2.86,3.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1.13,20.57,28.13,3.03,0.0,0.0,0.0,0.0,0.0,38.53,0.0,2.85
2017,24.31,37.22,2.52,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0
2018,4.48,32.57,2.13,0.0,0.0,0.0,0.0,0.0,9.4,0.0,0.0,0.0
2019,21.18,9.22,12.36,12.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,4.48,44.7,104.87,6.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,6.74,5.88,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,20.69,35.56,11.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,1.44,4.89,25.79,0.56,0.0,0.0,0.0,10.99,0.0,0.0,0.0,0.0
2024,2.46,3.3,8.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
