year,January,February,March,April,May,June,July,August,September,October,November,December
2014,11.2414416,12.66881223,14.94684098,16.53266723,15.19049254,20.02950335,15.95782204,15.61022512,11.98847137,9.994668933,17.73426916,9.890340072
2015,10.20338424,10.65386543,14.8285056,11.17644083,17.08455346,15.74969269,16.75037701,12.36943279,9.352602009,9.242786321,7.701486841,8.413501706
2016,13.20461153,13.37474072,12.912926,12.67259221,14.82351123,17.7431938,18.44706128,16.47686831,15.98164051,13.9530983,16.62119215,14.26877835
2017,12.01253596,14.2724765,14.92070347,26.32894578,16.65823841,13.05603353,18.39949358,15.14775688,12.75059667,14.92549096,15.41239378,12.08890569
2018,18.85852486,13.57817085,16.9715158,15.05238196,15.01908322,17.16197436,18.17518347,19.40804776,13.64991998,13.52374051,16.60854526,15.99567271
2019,12.99254852,12.36818391,18.39090525,15.66617605,16.98002534,15.83187339,17.70661053,17.97529791,11.98756667,7.404366144,11.57998558,7.56476236
2020,9.84836164,11.62128669,15.45229907,11.99432089,17.08031088,15.23615768,13.38315983,11.71661567,11.89075854,17.34919757,11.76208398,11.676521
2021,10.12155419,12.97731633,15.4568276,21.62112721,13.41213536,15.02771528,14.55068652,14.88531196,14.39769524,12.05888702,11.02945148,10.28494271
2022,10.77512021,14.21399283,21.85157422,11.96280734,23.35071057,16.03259608,20.90476429,14.88887769,13.64209235,12.44696408,17.43029155,13.74995077
2023,13.5271822,12.82155515,13.29255085,14.50359212,14.11188155,15.52333887,15.80286467,12.67642871,10.92426247,11.70932218,8.118426898,7.829563871
2024,11.40264987,15.54496014,18.51528835,13.02447876,16.89114271,14.21647316,19.49751553,14.95598837,14.05118696,10.23618239,13.43927273,15.04537615
