year,January,February,March,April,May,June,July,August,September,October,November,December
2014,0.79075,0.752,0.772,0.762,0.7925,0.7705,0.74675,0.7405,0.74375,0.790666667,0.794666667,0.819
2015,0.80425,0.77825,0.78025,0.803666667,0.75525,0.79,0.733,0.7895,0.755,0.748,0.797,0.837
2016,0.81475,0.789,0.77875,0.7825,0.735,0.71825,0.78275,0.717,0.71525,0.7825,0.777333333,0.8235
2017,0.798,0.7595,0.754,0.746333333,0.7555,0.764,0.741,0.74175,0.74875,0.795666667,0.776,0.82725
2018,0.78425,0.77825,0.7765,0.780333333,0.689,0.76525,0.74325,0.71775,0.76175,0.803666667,0.803,0.8175
2019,0.79525,0.771,0.782,0.79,0.774,0.77175,0.7825,0.7545,0.79575,0.573,0.81425,0.814333333
2020,0.79225,0.76625,0.7335,0.7575,0.771666667,0.79825,0.77725,0.7025,0.6695,0.7605,0.806,0.823
2021,0.744666667,0.769,0.7775,0.773333333,0.76775,0.786,0.75875,0.73525,0.76,0.790333333,0.80075,0.82275
2022,0.78875,0.78625,0.7535,0.782,0.75675,0.76225,0.773666667,0.6225,0.73225,0.769666667,0.7965,0.77575
2023,0.804,0.79525,0.76075,0.787333333,0.777333333,0.7815,0.7865,0.621,0.63,0.763666667,0.8075,0.81525
2024,0.81675,0.79,0.7675,0.76825,0.807,0.7215,0.743333333,0.782,0.76775,0.774666667,0.7985,0.81825
