year,January,February,March,April,May,June,July,August,September,October,November,December
2014,0.671607531,0.824204706,1.002379683,1.747246571,1.591936662,1.631306619,1.553906318,1.60806936,1.620690896,1.618492081,1.617024122,1.041274308
2015,0.897597441,0.956820934,1.303083881,1.74829904,1.774721103,1.358615958,1.667067194,1.670438961,1.66476585,1.592907394,1.6828056,1.028239427
2016,0.889512847,1.201646983,1.848609203,2.519400904,1.845785695,1.654879151,1.809624769,2.080503436,2.001836706,1.725245956,1.034914286,1.3004733
2017,0.735552029,0.974423308,1.845432254,2.050058433,1.954682859,1.944388105,2.343957877,1.954942161,1.756960767,1.68924192,1.337660017,1.107324216
2018,0.905251335,0.732873561,1.334743537,1.580257111,1.751983452,1.571646216,1.856868042,2.371890671,2.181913968,1.688988664,1.435981927,1.079921133
2019,0.762066362,1.108956437,1.464315624,1.852263998,1.58983647,1.89384113,1.949845466,1.60335482,1.879615943,1.998451909,1.47235459,0.891582891
2020,0.806097872,0.711574359,1.162724885,1.546023831,1.679006916,1.741004961,1.999510794,1.645980197,1.674594105,1.83808023,1.497568902,1.045861379
2021,0.957933532,0.784875563,1.032277222,1.608267519,1.585565278,1.506454177,1.788898145,1.802301631,1.886837509,1.707798755,1.729419765,1.04080323
2022,1.224391645,0.844226713,1.376669546,1.70425986,1.483234523,1.781085875,1.93934914,1.818733521,1.624349547,2.005661689,1.662222319,1.221893111
2023,0.71678924,0.755062684,1.364764798,1.502105834,1.801618351,1.880737854,1.981905345,2.063241721,1.59444746,1.935952348,1.569260485,1.244375543
2024,0.934191367,0.95246869,1.146702981,1.892109692,1.922206193,1.513373142,1.561750705,1.624426402,1.711127077,1.937555007,1.318315007,1.83538845
