year,January,February,March,April,May,June,July,August,September,October,November,December
2014,5.66,487.34,2720.02,25.84,2.61,17.44,76.06,296.6,1191.1,27.81,0.73,0.0
2015,8.6,30.04,638.6,3.62,0.0,2.55,152.26,273.01,205.55,20.92,3.92,0.0
2016,0.0,102.76,830.82,18.04,0.0,0.0,12.69,467.12,917.16,538.53,0.0,16.77
2017,28.24,108.84,180.55,35.99,8.06,33.78,357.77,213.7,79.31,4.88,0.0,2.67
2018,28.63,381.0,462.76,8.47,0.0,0.0,11.31,420.29,1559.7,2.61,2.62,3.56
2019,20.37,83.71,635.63,54.61,27.97,5.26,13.0,39.6,61.47,0.0,0.0,2.17
2020,23.38,389.21,1153.77,46.69,2.95,4.57,23.03,689.65,91.75,124.37,26.53,0.0
2021,20.78,377.82,712.55,43.0,7.21,16.8,33.86,136.76,874.01,10.47,0.69,26.01
2022,90.95,298.84,504.24,45.13,1.42,0.75,24.1,132.33,358.55,22.43,7.39,0.82
2023,5.38,104.3,256.84,59.0,5.21,12.18,175.37,1275.01,55.23,4.04,0.7,0.0
2024,22.8,109.37,865.58,30.99,0.0,3.09,32.57,17.65,193.16,39.92,0.0,14.07
