year,January,February,March,April,May,June,July,August,September,October,November,December
2014,6.273564568,8.309889146,9.048037165,11.88443852,7.432608686,3.861566375,3.32266748,4.756560008,6.011393077,10.68225264,11.67546357,8.883108698
2015,7.275439642,7.886094929,12.72133875,12.95544106,7.785096147,5.361225133,4.065473069,5.278803025,6.459332231,10.5466115,12.35939903,10.97055726
2016,7.169037242,9.65357457,10.81675875,12.4465,8.844492201,4.15475437,4.818925593,4.300166735,4.579013984,8.506358706,11.54858173,11.39355709
2017,8.878264889,10.00795573,16.03513648,10.91068193,8.943986648,5.319626938,5.04690173,5.272496249,6.983327608,9.505715041,12.86350198,11.45228237
2018,9.485463906,8.395390285,13.03685295,14.21223294,9.281467112,5.072524911,4.710418278,4.643416062,8.41362401,14.35086758,14.06301153,11.81726787
2019,7.449009854,10.92940878,13.97313661,13.88725984,7.090815508,5.409588259,6.050069057,5.753096332,8.47472482,15.64874245,15.88746059,11.54178868
2020,10.63987115,7.211884525,11.74977821,13.56497991,9.68000941,6.164050601,7.409061396,6.67956039,7.463032688,9.334175522,14.77804782,11.39412785
2021,12.32786267,9.141032754,14.40461866,13.81439217,9.748475602,6.07426921,5.511419846,6.122386125,7.01824495,11.65166429,12.60779763,11.76346943
2022,12.81319429,9.214799461,10.79102614,14.92794994,6.057432461,6.061456954,7.249887604,6.021778616,6.38073833,11.15546451,15.3351001,11.74627938
2023,8.453159267,8.922820822,12.69235571,15.35555246,9.476199259,5.853116215,5.367303229,6.254234051,6.8500771,14.76600358,16.9008672,10.45858339
2024,11.69390387,9.141442735,12.72375099,14.87311998,10.5040677,6.203389149,5.393567504,7.222735532,6.826425312,12.36777869,13.94210098,13.8347945
