year,January,February,March,April,May,June,July,August,September,October,November,December
2014,14.25205776,13.5765545,16.51689225,18.79425413,18.9687065,24.84312121,19.89620132,18.88278886,15.00282573,10.46955874,22.25930921,12.1845843
2015,11.09950674,12.92714409,15.8309087,12.02115452,20.5822467,19.00518045,20.40791837,16.09845754,12.19168325,11.65860842,8.518648556,9.55419256
2016,14.98151011,14.81566131,13.7074907,15.4649671,18.4950731,22.43943764,21.24889165,20.69858929,18.7533652,16.88948377,18.20585078,17.82130345
2017,13.0937465,15.75835566,15.66424655,30.85263525,21.04789233,16.67321669,21.16805401,18.51015071,15.15531119,19.8696211,18.78608689,14.10658639
2018,21.45861861,15.82339779,20.04550951,17.57077172,18.61640074,22.41861887,21.83634983,22.27506381,15.79901359,15.16667561,18.929657,19.59942907
2019,15.61787798,14.581911,19.9403926,17.65158274,21.51186195,19.34853172,20.36491081,21.32640209,15.26681027,8.539590649,14.44070823,9.032174313
2020,11.1423831,13.80300598,15.98257321,12.90675487,19.89078288,19.28624354,16.09148179,14.26651502,15.00877307,20.40628364,14.94684398,15.57253412
2021,11.53633882,16.04023699,17.59246661,24.99178909,15.98621331,18.55771627,18.10658954,18.36354196,18.37689584,15.75425644,14.09497711,13.22208362
2022,12.98431443,16.1517818,26.77020866,13.99403626,28.83110635,19.26749015,23.30180906,18.03716457,16.50392881,14.6777162,21.46994167,17.2029125
2023,17.12204294,16.0424433,16.64050211,16.82989014,17.04156057,19.549493,18.74843645,15.64070819,14.43878337,14.53904263,9.329271245,10.58980641
2024,14.26439994,19.12926808,20.96791326,14.27543413,21.24604403,18.5404692,22.36531168,17.40220461,17.79193082,12.13869985,16.69261486,18.35655475
