month,pm2.5_ug_m3,frp_total,vim,asthma_live_discharges,bronchitis_live_discharges,no2_ug_m3
January,14.32298153909091,23.16272727272727,0.7613863636363636,13081.454545454546,1216.2727272727273,9.314433758909091
February,15.331796409090908,224.8390909090909,0.6791818181818182,13081.454545454546,1216.2727272727273,8.983117612454546
March,18.15082765090909,814.669090909091,0.6320681818181818,13081.454545454546,1216.2727272727273,12.544799128636363
April,17.759388177272726,33.76181818181818,0.6867803029090909,13081.454545454546,1216.2727272727273,13.530231704545455
May,20.201626223636364,5.039090909090909,0.7200681818181818,13081.454545454546,1216.2727272727273,8.622240975818181
June,19.993592612727273,8.765454545454546,0.7361590909090908,13081.454545454546,1216.2727272727273,5.412324374090909
July,20.32145041,82.91090909090909,0.6943560605454545,13081.454545454546,1216.2727272727273,5.3586995260000005
August,18.31832605909091,360.1563636363636,0.6513181818181818,13081.454545454546,1216.2727272727273,5.664112102272727
September,15.84448374,507.9081818181818,0.6675227272727273,13081.454545454546,1216.2727272727273,6.85999401
October,14.555412459000001,72.36181818181818,0.7025833332727273,13081.454545454546,1216.2727272727273,11.683239500818182
November,16.152173593727273,3.8709090909090906,0.747401515090909,13081.454545454546,1216.2727272727273,13.814666560000001
December,14.294741952999999,6.006363636363636,0.7848409090909091,13081.454545454546,1216.2727272727273,11.386892410727272
