year,pm2.5_ug_m3,frp_total,vim,tc_loss_ha,asthma_live_discharges,bronchitis_live_discharges,no2_ug_m3,so2_ug_m3
2014,17.137237875833332,404.2675,0.6995416666666667,2367.0,16979.0,2099.0,7.678462494416666,1.5637223395833333
2015,14.157970824666668,111.58916666666666,0.7146319444166668,564.0,16984.0,1827.0,8.638734314666666,1.6725233710833332
2016,17.793468675,241.9908333333333,0.6894236110833334,1893.0,14733.0,1.0,8.185976747583334,1.5658456606666666
2017,18.39049193916667,87.81583333333333,0.7051319444166667,1081.0,15338.0,1455.0,9.26832313275,1.7209742905833334
2018,19.128292179166667,240.07916666666668,0.7046944444166666,1487.0,14178.0,1.0,9.790211452833333,1.7253600446666668
2019,16.468562862666666,78.64916666666667,0.70727777775,812.0,15075.0,1654.0,10.174591731666666,1.7375756020833333
2020,15.775347933333334,214.65833333333333,0.7119236110833334,1236.0,8215.0,628.0,9.672381622666666,1.6590853295833332
2021,16.8852588,188.33,0.7117013888333333,2418.0,5.0,611.0,10.01546944475,1.6290887889166665
2022,19.099367538333333,123.91250000000001,0.70509027775,1231.0,11198.0,1180.0,9.812925648833334,1.743215561083333
2023,15.542665029583333,162.77166666666668,0.7008125000000001,1634.0,14693.0,1756.0,10.11252269025,1.7784866819166665
2024,17.764237100833334,110.76666666666667,0.7081319444166666,946.0,16498.0,2167.0,10.3939230785,1.6587523413333336
