year,January,February,March,April,May,June,July,August,September,October,November,December
2014,2.35,127.35,150.24,65.11,7.22,41.32,84.89,190.12,254.95,77.07,14.6,2.72
2015,20.53,38.25,33.28,0.0,0.0,63.95,71.93,108.64,84.6,19.73,0.0,0.0
2016,1.32,17.57,156.96,87.87,15.93,66.0,28.81,225.03,286.86,264.97,18.02,6.16
2017,79.12,2.39,22.81,94.28,56.58,76.61,89.65,41.65,69.97,15.35,8.34,0.0
2018,0.0,11.75,170.6,100.24,0.0,55.88,71.6,115.12,115.51,0.0,0.0,4.41
2019,10.91,8.28,224.49,346.9,86.6,22.64,72.9,61.22,24.45,1.71,2.22,0.0
2020,5.31,133.32,118.05,40.28,12.67,19.47,33.51,76.9,11.69,277.13,24.17,0.0
2021,6.46,17.94,28.03,24.74,0.0,26.31,88.08,87.52,230.13,37.51,0.0,2.12
2022,167.91,137.1,24.04,5.97,35.31,69.95,40.33,19.42,79.75,34.32,5.1,0.0
2023,0.0,5.03,23.38,183.53,25.13,116.57,213.34,195.58,79.02,29.64,0.0,0.0
2024,0.0,6.65,64.87,65.68,0.0,4.54,19.86,43.73,118.37,2.93,12.1,0.0
