year,January,February,March,April,May,June,July,August,September,October,November,December
2014,1.141121342,1.339962759,1.503462508,2.21696496,2.050537202,1.547573303,1.475610057,1.861293761,1.88208273,2.650947663,2.672220633,1.705915118
2015,1.566246937,1.577835639,2.04331944,2.564188356,2.294163673,1.564328846,1.671194975,1.827019584,1.982535387,2.478966434,2.805847069,1.782380386
2016,1.427868848,1.629183355,2.377651165,2.635779798,2.252154261,1.758142054,1.921505584,2.049983722,2.009653452,2.327498808,1.938454245,2.187891074
2017,1.386540701,1.921956955,3.419131719,2.911307912,2.385538514,1.929464103,2.462710841,2.146275228,2.193974105,2.320322742,2.443220922,2.292021649
2018,1.72540799,1.352855737,2.481669292,2.745365354,2.572573411,1.622211613,1.885446018,2.40442277,2.715874168,3.05955577,2.754209151,2.040789133
2019,1.40025423,2.017797708,2.620128396,3.164173086,1.887947335,1.803362049,2.071937373,1.724348356,2.316617659,3.668645572,2.973552612,1.766017788
2020,1.630425166,1.342944181,2.222101161,2.597704153,2.470375991,1.947558295,2.32959987,1.832032429,1.999809059,2.342814351,2.787163872,2.070919907
2021,1.954249119,1.57158825,2.11393383,2.65342318,2.242203727,1.733178343,1.951842902,2.018114056,2.209742867,2.607236281,2.725342773,2.076710016
2022,2.515384264,1.713410671,2.360811121,3.15626504,1.796433576,2.066475126,2.385756769,2.157032414,2.02237217,2.898125769,3.099657398,2.107968303
2023,1.444475602,1.490837843,2.557314048,2.816051635,2.517843493,1.997012249,2.034980429,2.333858851,1.874695854,3.211268953,3.211209968,1.979235121
2024,1.891090777,1.804960468,2.352862862,3.148221731,2.708816234,1.822748873,1.609469462,2.064729484,1.849400311,2.923040078,2.463362449,3.025886413
