year,January,February,March,April,May,June,July,August,September,October,November,December
2014,18.05210273,14.90137121,18.78739323,19.83161912,23.10650261,29.68899222,24.54086462,22.55677439,18.69440958,12.40111256,28.81186675,18.99451157
2015,12.70542128,14.90774575,17.53263393,10.94028176,25.82315409,22.75688826,24.93393823,20.30722308,16.06310845,11.55298655,11.43944783,11.20740004
2016,17.22400541,16.08828218,14.36254591,17.91241644,21.87085959,25.64451801,22.89700982,23.22166003,21.82430809,23.96687503,23.72865323,23.86977691
2017,15.95999738,17.35438508,16.45562683,36.3985328,26.44031469,21.96523452,23.28045665,21.62765859,17.32718178,19.77527451,21.46021043,18.34810023
2018,25.1497658,19.9573146,24.44817769,17.93372217,22.37893998,28.0529034,25.20953828,24.47631536,18.22654224,16.78953529,22.91882872,24.08240454
2019,18.99997042,16.9626285,21.73720755,17.95713031,31.05073962,24.33247943,23.29650863,24.9743981,18.59551893,7.331203017,19.84794931,12.01140096
2020,12.75543014,16.01220363,17.07794251,13.35736914,21.16396702,22.4712355,18.40104934,18.09840815,18.28505812,23.08827954,19.21666072,21.61051932
2021,14.17544889,19.71188164,21.4975405,27.95642034,16.2857424,21.89123522,20.7452726,20.288511,21.20787419,18.81619302,18.32141163,15.97963658
2022,16.08122361,19.54208399,31.24043117,14.31114445,36.09168338,22.6588074,24.53048829,22.11398269,19.5518941,16.0390622,27.89986054,21.27997487
2023,20.98789764,21.42243766,20.43793971,17.73102827,21.77704749,23.96055781,23.42440295,20.33528594,20.03893346,17.98394222,10.87204436,16.63357775
2024,17.73234682,23.04738024,23.39389128,15.05918841,23.5286085,22.15603516,25.94869835,20.26304865,21.40994199,14.12183744,21.64758749,22.6950852
