year,pm2.5_ug_m3,frp_total,vim,tc_loss_ha,asthma_live_discharges,bronchitis_live_discharges,no2_ug_m3,so2_ug_m3
2014,20.863960049166668,84.82833333333333,0.6438472221666667,553.0,769.0,91.0,1.8373076696666668,1.1534273259166665
2015,16.6808524375,36.7425,0.6620486110833333,416.0,809.0,94.0,2.0131688938333334,0.944481519
2016,21.050909220833333,97.95833333333333,0.6457013889166666,355.0,720.0,96.0,2.0429805305,1.2382054484166667
2017,21.36608112416667,46.395833333333336,0.6168611110833333,216.0,656.0,134.0,2.31770544925,1.1559689880833333
2018,22.4686656725,53.759166666666665,0.6029583333333334,168.0,637.0,227.0,2.2800317005833333,1.1560704814166667
2019,19.75809456475,71.86,0.61740972225,141.0,591.0,427.0,2.2845651803333333,0.8933526489166667
2020,18.461510260833332,62.708333333333336,0.6448263888333333,134.0,363.0,140.0,2.1311207029166668,1.0597820876666666
2021,19.739764000833333,45.73666666666667,0.6427361110833333,210.0,205.0,64.0,2.1547971120000002,1.15929308725
2022,22.611719724166665,51.6,0.6492291666666666,363.0,508.0,124.0,2.35664105175,1.3180922805833333
2023,19.633757938333332,72.60166666666667,0.6204652778333334,308.0,833.0,111.0,2.2890653371666665,1.0026356000833334
2024,20.916970794166666,28.227500000000003,0.6528125,242.0,546.0,188.0,2.3053824285,1.18106901025
