,pm2.5_ug_m3,no2_ug_m3,so2_ug_m3,vim,vim_anomaly,tc_loss_ha,frp_total,carbon_gross_emissions_yearly,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
pm2.5_ug_m3,1.0,-0.244946464499063,0.3141922159852731,-0.3823556217270469,-0.2042003277490445,0.1075122850268737,0.17890766264771926,0.10796138127168371,0.009334254825422064,-0.07690085133156122,-0.06812611721673521,0.020529469364431376,-0.10081413489150665,0.07375576447646784
no2_ug_m3,-0.244946464499063,1.0,-0.37397343879441464,0.331718371147137,0.024427254463323514,-0.08482846295596577,-0.37587994504110017,-0.0683061997382165,-0.2395017726348533,0.07292546654355671,-0.0665287830984964,0.18448181266343686,0.14410244330234662,-0.17534875820355883
so2_ug_m3,0.3141922159852731,-0.37397343879441464,1.0,-0.6433650594314897,0.09250939582487859,-0.004528105534170494,0.3674560552097572,-0.0047822140916033125,-0.019806263238674505,0.03194368500532151,0.003275104841783684,0.040444378477359794,0.021966607307383083,-0.037306631177690945
vim,-0.3823556217270469,0.331718371147137,-0.6433650594314897,1.0,0.538402090484224,-0.04456262373511624,-0.6734462990903591,-0.04843157554274861,-0.10085107195327064,-0.00984760683857295,-0.06289775171629469,-0.05969270611059022,0.0157351088847091,-0.043456244199382855
vim_anomaly,-0.2042003277490445,0.024427254463323514,0.09250939582487859,0.538402090484224,1.0,-0.07147109755570749,-0.42168354345060505,-0.07676388657171287,-0.14992548532359778,0.0034681952617092817,-0.07692304215729891,-0.08011415909167034,0.04557981711729016,-0.0844263938296666
tc_loss_ha,0.1075122850268737,-0.08482846295596577,-0.004528105534170494,-0.04456262373511624,-0.07147109755570749,1.0,0.2100085817620444,0.998003341106363,0.40088865570793064,-0.14683608456243585,0.01676992556744664,0.16697123093791333,-0.37609011683781873,0.4552991795178514
frp_total,0.17890766264771926,-0.37587994504110017,0.3674560552097572,-0.6734462990903591,-0.42168354345060505,0.2100085817620444,1.0,0.20702639098377743,0.15034833746394075,-0.18088527952909597,-0.08593034339867013,0.0050693840079549714,-0.26802043227426003,0.2862559527229722
carbon_gross_emissions_yearly,0.10796138127168371,-0.0683061997382165,-0.0047822140916033125,-0.04843157554274861,-0.07676388657171287,0.998003341106363,0.20702639098377743,1.0,0.39731468556250316,-0.13513734536616825,0.026978057835272535,0.19854481804769478,-0.3586486403529113,0.450154722193768
asthma_live_discharges,0.009334254825422064,-0.2395017726348533,-0.019806263238674505,-0.10085107195327064,-0.14992548532359778,0.40088865570793064,0.15034833746394075,0.39731468556250316,1.0,0.39662314669563753,0.6814561446237468,0.37714817861157635,-0.07869199259417047,0.23480406628911465
bronchitis_live_discharges,-0.07690085133156122,0.07292546654355671,0.03194368500532151,-0.00984760683857295,0.0034681952617092817,-0.14683608456243585,-0.18088527952909597,-0.13513734536616825,0.39662314669563753,1.0,0.8593376606249078,0.6005778298086502,0.7571248661876699,-0.7427507167242977
asthma_deaths,-0.06812611721673521,-0.0665287830984964,0.003275104841783684,-0.06289775171629469,-0.07692304215729891,0.01676992556744664,-0.08593034339867013,0.026978057835272535,0.6814561446237468,0.8593376606249078,1.0,0.41464249424747057,0.6752124541134197,-0.5016209003111719
bronchitis_deaths,0.020529469364431376,0.18448181266343686,0.040444378477359794,-0.05969270611059022,-0.08011415909167034,0.16697123093791333,0.0050693840079549714,0.19854481804769478,0.37714817861157635,0.6005778298086502,0.41464249424747057,1.0,0.15403762746469532,-0.18910682598737194
asthma_cfr,-0.10081413489150665,0.14410244330234662,0.021966607307383083,0.0157351088847091,0.04557981711729016,-0.37609011683781873,-0.26802043227426003,-0.3586486403529113,-0.07869199259417047,0.7571248661876699,0.6752124541134197,0.15403762746469532,1.0,-0.9093745591268183
bronchitis_cfr,0.07375576447646784,-0.17534875820355883,-0.037306631177690945,-0.043456244199382855,-0.0844263938296666,0.4552991795178514,0.2862559527229722,0.450154722193768,0.23480406628911465,-0.7427507167242977,-0.5016209003111719,-0.18910682598737194,-0.9093745591268183,1.0
