year,January,February,March,April,May,June,July,August,September,October,November,December
2014,0.0,20.97,78.33,35.99,112.86,43.96,236.97,266.63,294.33,6.15,11.51,0.0
2015,0.0,1.43,22.17,0.0,7.44,23.75,141.87,137.75,165.69,11.33,0.0,0.0
2016,2.69,17.36,52.29,41.64,16.62,8.71,160.64,556.78,568.32,822.16,13.33,0.0
2017,11.55,5.78,8.03,15.46,19.27,166.84,149.38,387.01,221.06,141.37,0.0,0.0
2018,5.69,6.98,0.0,16.24,0.0,11.66,76.94,169.53,88.5,0.0,0.0,0.0
2019,1.91,2.8,318.92,102.65,52.21,225.39,68.82,168.39,241.18,3.93,0.0,0.0
2020,0.0,4.59,188.76,68.84,4.61,18.96,32.61,76.67,87.79,288.2,12.7,0.0
2021,0.0,11.77,5.12,5.96,0.0,18.99,13.45,3.82,360.31,11.16,3.17,0.0
2022,13.77,41.27,5.69,15.86,10.6,85.65,164.68,28.48,111.17,5.98,1.18,0.0
2023,0.0,5.24,0.0,4.17,17.06,33.74,327.72,383.49,133.62,3.7,0.0,0.0
2024,5.43,5.4,106.93,4.04,3.79,0.0,38.45,51.21,177.27,11.67,0.0,6.28
