year,January,February,March,April,May,June,July,August,September,October,November,December
2014,7.579605116,8.79869898,8.643694658,11.60929235,8.938971593,5.056156466,4.47593003,6.56584555,7.527067784,10.26577831,10.71252647,9.00972364
2015,8.540211781,9.029227908,10.58627747,12.12637029,9.271225467,7.095806141,5.491343804,6.605912698,8.423111083,10.60897205,11.63892636,9.392382487
2016,8.539586159,9.156263896,10.51929103,12.14829825,9.34062074,5.914565354,6.525076488,6.266379815,6.59953524,10.36268117,10.97831318,11.50189766
2017,10.28318546,10.8067925,14.39736756,12.64838139,9.253724569,6.947082835,6.923169155,7.076044212,8.980420379,10.85699406,12.24921434,12.1038051
2018,11.56233109,10.29722274,12.8792911,13.56847097,10.84597488,7.1983372,6.515670996,6.595201564,10.23823046,13.46715885,13.19099057,12.46287705
2019,9.861302033,11.53093713,13.95354638,14.46793061,9.206556024,7.483435168,8.468250527,7.894420011,10.42670844,14.60890958,14.97956486,11.41854794
2020,11.77852048,9.253494194,12.18876855,13.1544549,10.93730399,8.444758338,9.621177291,8.797301016,9.955903007,11.02176462,13.55207678,12.29290847
2021,12.42420326,11.0834163,13.81017764,14.45844983,10.57520181,8.347135719,7.300127085,8.358121261,9.5805736,12.6047674,13.33822842,12.63981452
2022,13.19273387,11.09208809,13.73014002,14.5580348,8.155036289,8.297706194,8.769451492,7.733328836,8.730861619,12.34985849,15.3603849,12.26737647
2023,10.40395348,10.50465093,13.46747739,14.53318468,11.77099136,7.776906923,7.554338962,8.438935381,9.527622917,14.43638149,15.22105068,10.74596704
2024,12.12661964,10.53630995,12.49493255,14.12410306,11.56327022,8.550037127,7.21080695,9.488454921,8.499700821,13.61374147,13.25924955,14.48061722
