year,January,February,March,April,May,June,July,August,September,October,November,December
2014,12.81776072,12.33927481,15.79996932,16.1081517,15.87497958,20.97558162,16.76097694,16.49359797,13.44797999,8.951505045,20.15353853,10.00038321
2015,10.1568764,11.73702337,14.95103923,10.6249668,18.12179652,16.82174758,17.63782884,13.32141809,9.871878113,8.530470371,7.028033409,8.045552204
2016,13.64015173,13.7922938,12.19561092,13.14583691,15.6094707,19.0290871,18.70792004,17.7606471,16.56667152,16.70580341,15.73987483,15.68041005
2017,12.07588363,13.64534476,14.55577112,27.1266874,17.4733251,14.03692729,19.27915948,16.0501222,12.73986279,15.99775547,15.92867884,11.76422768
2018,19.29829246,14.5874057,18.36032524,14.12525947,16.08434259,18.53560549,18.56298086,20.51015977,14.40341331,11.28642215,17.10284962,17.31160903
2019,14.09534475,12.39746517,18.08410227,15.67706203,18.23984048,16.2673458,18.26576775,18.46117355,13.07295303,7.197644555,13.16522269,8.085441964
2020,10.15956062,12.63237313,14.06295683,11.0586476,17.20758551,16.09435508,13.80410785,12.73889799,12.54076298,18.19108707,12.00142038,12.7927586
2021,9.925738548,14.65416012,16.34956479,22.61576792,13.39642869,16.05279516,15.42155087,15.78917099,15.67405667,13.26904263,11.92414015,11.06906726
2022,11.7004128,14.70269039,24.31734341,12.32572609,24.76085761,16.62715748,21.17204622,15.50199821,14.33477461,12.78054034,18.73812737,14.60313877
2023,15.44301146,14.55263189,14.69335828,15.2293261,15.33988936,16.42666872,16.28480919,13.56715106,11.54724299,12.24380411,7.884561781,8.867571691
2024,12.5416663,17.87936904,19.12654494,12.30925851,17.1601613,14.95038033,19.98229015,15.28052226,15.23209102,10.8545243,13.13606128,16.23733856
