year,January,February,March,April,May,June,July,August,September,October,November,December
2014,0.795,0.7735,0.73925,0.725333333,0.7295,0.7065,0.66675,0.68275,0.65,0.765666667,0.7815,0.78675
2015,0.791,0.7755,0.73525,0.748,0.69725,0.7515,0.71175,0.708,0.74625,0.753333333,0.767,0.77575
2016,0.79725,0.76675,0.73925,0.74225,0.767,0.747,0.73475,0.695,0.6465,0.661,0.749,0.77675
2017,0.79775,0.77925,0.76325,0.739666667,0.7405,0.73425,0.68025,0.66375,0.74625,0.759,0.727,0.7795
2018,0.78125,0.77225,0.744,0.738666667,0.73375,0.73175,0.69175,0.67525,0.71975,0.782,0.766,0.7785
2019,0.794,0.75925,0.695,0.735666667,0.7155,0.69875,0.6815,0.67725,0.7,0.731,0.74075,0.7895
2020,0.7955,0.77125,0.708,0.70325,0.731666667,0.7615,0.766,0.69,0.745,0.69575,0.744333333,0.77475
2021,0.79475,0.77825,0.7395,0.724,0.731,0.74825,0.74225,0.71,0.69125,0.763333333,0.7745,0.785
2022,0.79325,0.769,0.7365,0.707,0.7255,0.73225,0.688,0.741,0.7405,0.751666667,0.753,0.7625
2023,0.7755,0.77875,0.74125,0.726333333,0.749,0.7475,0.72775,0.66775,0.722,0.749666667,0.7525,0.771
2024,0.80775,0.77075,0.7075,0.708,0.713333333,0.767,0.735666667,0.726,0.71,0.71675,0.7475,0.77225
