year,pm2.5_ug_m3,frp_total,vim,tc_loss_ha,asthma_live_discharges,bronchitis_live_discharges,no2_ug_m3,so2_ug_m3
2014,14.976974952916665,92.30833333333334,0.7335416666666666,228.0,3963.0,2065.0,8.265274245583333,1.5131569976666668
2015,12.237385910583333,42.619166666666665,0.74671527775,358.0,3841.0,2630.0,9.067480628250001,1.6363426351666668
2016,15.714481509166667,188.37833333333333,0.7352083333333334,1035.0,3742.0,1.0,8.987709081833334,1.5257186606666668
2017,15.889478813333334,93.8125,0.74253472225,1287.0,3411.0,2141.0,10.21051513,1.7069617074999999
2018,16.680722140833335,31.294999999999998,0.74290972225,679.0,3407.0,2622.0,10.735146455833332,1.6079862758333334
2019,14.417447003249999,98.85000000000001,0.7265138889166667,789.0,3995.0,2651.0,11.19167572525,1.6245581309166666
2020,13.607042803333334,65.31083333333333,0.7405833333333334,303.0,2215.0,1501.0,10.916535969666667,1.6070947572499998
2021,14.678456983166667,36.145833333333336,0.7485069444166667,291.0,1231.0,773.0,11.210018070416666,1.6138849701666667
2022,16.797067775,40.36083333333334,0.7416805555833333,98.0,2774.0,1797.0,11.186416755833333,1.7253831590833333
2023,13.506668886,75.72833333333334,0.7424166666666667,247.0,2887.0,2448.0,11.198455102750001,1.7155686273333333
2024,15.390850665833334,34.20583333333334,0.7402083333333334,250.0,3126.0,2166.0,11.328986956583334,1.6052416491666666
