year,January,February,March,April,May,June,July,August,September,October,November,December
2014,0.799,0.75475,0.751,0.729333333,0.739,0.75475,0.7455,0.736,0.74225,0.751,0.7965,0.8045
2015,0.8125,0.7585,0.747,0.748,0.7485,0.7505,0.7425,0.75325,0.727,0.751,0.782,0.795
2016,0.78825,0.76825,0.72375,0.74825,0.764666667,0.76375,0.7905,0.71875,0.73175,0.739,0.764333333,0.779
2017,0.79225,0.7615,0.72775,0.741666667,0.689,0.742,0.7415,0.74625,0.74925,0.753,0.774666667,0.7955
2018,0.79,0.767,0.7445,0.732333333,0.719333333,0.7645,0.74225,0.70125,0.715,0.764,0.78325,0.8005
2019,0.7935,0.7435,0.74,0.742,0.728,0.73625,0.76325,0.745,0.7505,0.762333333,0.7845,0.77675
2020,0.7845,0.74825,0.71325,0.701,0.703666667,0.7875,0.76975,0.75225,0.675,0.77,0.721666667,0.8005
2021,0.805,0.759,0.73825,0.723,0.75625,0.74825,0.75675,0.7065,0.74225,0.756,0.76575,0.809
2022,0.7905,0.7465,0.7355,0.750333333,0.7405,0.743,0.782666667,0.727,0.72675,0.758666667,0.7435,0.77125
2023,0.7965,0.7795,0.74125,0.748333333,0.7505,0.75325,0.755,0.72225,0.651,0.750666667,0.76225,0.7755
2024,0.794,0.772,0.73775,0.72975,0.628666667,0.70475,0.786666667,0.72875,0.7455,0.71725,0.748666667,0.7825
