month,pm2.5_ug_m3,frp_total,vim,asthma_live_discharges,bronchitis_live_discharges,no2_ug_m3
January,13.824732713636363,1.179090909090909,0.7950909090909092,5086.545454545455,783.8181818181819,7.930323900090909
February,15.023389876363638,12.69818181818182,0.7598863636363636,5086.545454545455,783.8181818181819,7.772269390363636
March,16.240122397272728,20.743636363636366,0.7363636363636363,5086.545454545455,783.8181818181819,6.952111565818182
April,13.976841894454545,1.3527272727272726,0.7358181817272726,5086.545454545455,783.8181818181819,5.905093244272726
May,18.01667741,0.26,0.7243712121818182,5086.545454545455,783.8181818181819,3.9982706364545453
June,18.994749616363638,0.0,0.7498636363636364,5086.545454545455,783.8181818181819,3.4421660452727276
July,20.216886317272728,0.0,0.7614848485454545,5086.545454545455,783.8181818181819,3.7393453694545453
August,17.70731731090909,0.6254545454545455,0.730659090909091,5086.545454545455,783.8181818181819,3.839646057818182
September,14.420005218181819,4.273636363636364,0.7232954545454545,5086.545454545455,783.8181818181819,3.6354023228181815
October,12.581124660090909,0.8863636363636364,0.7520833333636364,5086.545454545455,783.8181818181819,4.779104673181818
November,14.03341542809091,0.9600000000000001,0.7660984849090909,5086.545454545455,783.8181818181819,6.688032354090908
December,13.224350818,0.0,0.7899999999999999,5086.545454545455,783.8181818181819,7.834130372454546
