year,pm2.5_ug_m3,frp_total,vim,tc_loss_ha,asthma_live_discharges,bronchitis_live_discharges,no2_ug_m3,so2_ug_m3
2014,15.373099032833332,3.4458333333333333,0.7586319444166666,99.0,6141.0,873.0,6.625301100833333,1.8823225569166666
2015,12.871127054916668,0.18333333333333335,0.7596458333333334,53.0,6450.0,852.0,7.21208287125,1.7407096915
2016,16.70098157,7.794999999999999,0.7566875,368.0,6031.0,652.0,8.196022519833333,1.9848907451666669
2017,17.171728250833333,0.7766666666666667,0.7511944445,334.0,5932.0,700.0,4.638939783833333,1.9326211200833334
2018,17.4271839425,4.850833333333334,0.7519930555,314.0,6.0,755.0,5.197509285333333,2.1211134158333333
2019,14.392419892166666,5.4191666666666665,0.7554652777499999,246.0,6447.0,1079.0,4.8498553373333335,1.7206859015000002
2020,15.024338315833333,10.703333333333333,0.7439444445,241.0,4266.0,590.0,4.87000251975,1.8468113109166666
2021,15.567444445,2.658333333333333,0.7555000000000001,193.0,2018.0,322.0,4.732022907,1.8931870115833334
2022,17.678475559833334,2.2399999999999998,0.7513472222500001,198.0,5342.0,657.0,4.8302767265,2.1447606841666667
2023,14.045445959166665,0.5733333333333334,0.7488333333333334,129.0,6873.0,1093.0,4.892653233333333,1.7818528395
2024,16.319068499166665,0.7516666666666666,0.7396875000833334,158.0,6446.0,1049.0,4.928238319416667,1.9687086950000001
