,pm2.5_ug_m3,no2_ug_m3,so2_ug_m3,vim,vim_anomaly,tc_loss_ha,frp_total,carbon_gross_emissions_yearly,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
pm2.5_ug_m3,1.0,-0.22467299357299975,0.2131470924127369,-0.20559967000674184,-0.14218463396402292,0.03864083375761607,0.17788927708665103,0.0326189431955179,-0.08665743545633137,0.021036156594716048,-0.008909744462116911,0.04941273525407483,-0.006344761860987468,0.08326943561265357
no2_ug_m3,-0.22467299357299975,1.0,-0.4841339894123794,0.44102146261708697,0.014710818569065113,0.05347005366694195,-0.5412050089609711,0.08284202176479326,-0.3091657185646383,0.12451941313218962,-0.16647586172827222,0.06290690071191851,0.08534291249375628,-0.1490428756688262
so2_ug_m3,0.2131470924127369,-0.4841339894123794,1.0,-0.5728473643599156,0.12524303206364631,-0.0036653282408907065,0.5221744712912274,-0.0002573122167220877,-0.03012609234721891,-0.035009736244916094,0.009936991582558249,0.0343154786142713,0.030832381331439694,0.04612187984650667
vim,-0.20559967000674184,0.44102146261708697,-0.5728473643599156,1.0,0.5192620775409176,0.012039619361358654,-0.7075082958948868,0.028040229676460263,-0.02403153828515991,0.024443788120253683,0.03264447447746977,0.047195278710181844,0.06425650612554884,-0.0316030583270362
vim_anomaly,-0.14218463396402292,0.014710818569065113,0.12524303206364631,0.5192620775409176,1.0,0.009136598808820956,-0.22089856386036935,0.035786468129270145,-0.034916549491217114,0.045312109025900556,0.05043419830698546,0.07948968551308011,0.10364441847146967,-0.06034268526508039
tc_loss_ha,0.03864083375761607,0.05347005366694195,-0.0036653282408907065,0.012039619361358654,0.009136598808820956,1.0,0.04081673587800059,0.9959066465771639,0.11514736097750701,0.36315994536315155,-0.3529196343921449,0.34062061896810186,-0.39657041658636794,0.014045793044720171
frp_total,0.17788927708665103,-0.5412050089609711,0.5221744712912274,-0.7075082958948868,-0.22089856386036935,0.04081673587800059,1.0,0.025625790614353397,0.07166912307143601,-0.0999133671734508,0.10076972348611635,-0.0216556155898363,-0.007758096442171947,0.13568162947850443
carbon_gross_emissions_yearly,0.0326189431955179,0.08284202176479326,-0.0002573122167220877,0.028040229676460263,0.035786468129270145,0.9959066465771639,0.025625790614353397,1.0,0.07928914238262033,0.3757451934488168,-0.38210354936922075,0.3668851084667339,-0.3792056103733793,-0.005712305816147875
asthma_live_discharges,-0.08665743545633137,-0.3091657185646383,-0.03012609234721891,-0.02403153828515991,-0.034916549491217114,0.11514736097750701,0.07166912307143601,0.07928914238262033,1.0,0.33514737876811945,0.017479605370899584,0.3621509830505474,-0.672499916595367,-0.004192885116781084
bronchitis_live_discharges,0.021036156594716048,0.12451941313218962,-0.035009736244916094,0.024443788120253683,0.045312109025900556,0.36315994536315155,-0.0999133671734508,0.3757451934488168,0.33514737876811945,1.0,-0.7557957146279095,0.4445435301431655,-0.7931356566575409,-0.7176331884425708
asthma_deaths,-0.008909744462116911,-0.16647586172827222,0.009936991582558249,0.03264447447746977,0.05043419830698546,-0.3529196343921449,0.10076972348611635,-0.38210354936922075,0.017479605370899584,-0.7557957146279095,1.0,-0.41943453681059156,0.6279965327638406,0.6541505385967299
bronchitis_deaths,0.04941273525407483,0.06290690071191851,0.0343154786142713,0.047195278710181844,0.07948968551308011,0.34062061896810186,-0.0216556155898363,0.3668851084667339,0.3621509830505474,0.4445435301431655,-0.41943453681059156,1.0,-0.6396337097949144,0.15938610496487973
asthma_cfr,-0.006344761860987468,0.08534291249375628,0.030832381331439694,0.06425650612554884,0.10364441847146967,-0.39657041658636794,-0.007758096442171947,-0.3792056103733793,-0.672499916595367,-0.7931356566575409,0.6279965327638406,-0.6396337097949144,1.0,0.33971650183809027
bronchitis_cfr,0.08326943561265357,-0.1490428756688262,0.04612187984650667,-0.0316030583270362,-0.06034268526508039,0.014045793044720171,0.13568162947850443,-0.005712305816147875,-0.004192885116781084,-0.7176331884425708,0.6541505385967299,0.15938610496487973,0.33971650183809027,1.0
