year,January,February,March,April,May,June,July,August,September,October,November,December
2014,6.811515445,6.853262791,5.924529386,8.837343187,6.83569748,4.282320889,4.092287314,5.766786966,5.830435153,8.314321699,8.272644283,8.001622967
2015,7.815073799,7.598357033,8.020114859,9.457652164,7.200439227,5.90192948,4.551320204,5.656792039,6.459190538,8.901225327,9.465195521,7.201338159
2016,7.212803131,6.163142801,5.927965681,8.021986504,7.405731558,4.876475754,5.367878031,5.224161288,5.067740638,8.123321396,9.700329788,10.62715902
2017,9.601086632,9.402088814,11.64940556,9.186342583,7.135336072,5.634665896,5.412825405,5.811669712,7.035092539,8.300471419,10.88517758,10.50327957
2018,11.18133056,8.714949175,10.57314416,11.41130898,8.561185571,5.981033517,5.443142261,5.906823656,7.900814757,11.39407025,11.42033271,11.7914789
2019,9.348766803,8.910277384,10.17823457,10.584161,7.066366714,6.050194708,6.558106033,6.348854796,7.977148573,12.13017105,11.50558065,9.038019905
2020,9.451983274,7.171361503,10.17302239,10.33668802,8.985965915,7.026555936,7.578985911,7.530972065,7.852817014,8.803170363,11.96914363,11.37212297
2021,10.62004564,10.26497888,11.15866901,12.23188101,8.642877001,6.646469174,5.790569851,6.94695861,7.66998955,10.12041005,10.82882078,11.03043305
2022,11.46839519,10.39754982,11.87708971,11.95836379,6.333253897,6.536979728,7.130433339,6.246485181,6.685367241,9.994350666,13.85390935,11.16457972
2023,9.653379368,9.00287224,11.79030563,11.85710061,9.38487707,6.328347735,6.635025876,6.357792251,7.169450593,11.58288197,12.18767658,8.804032194
2024,9.872519047,8.103873283,9.824400185,11.32104169,9.147980485,6.708880257,6.19848919,7.077001471,6.622106435,10.9315412,12.06360063,13.45285489
